id,分页,商品[item],单次数量,不知道,所需货币,最大兑换
1,1,514,1,600,10000,10
2,1,515,1,600,20000,5
3,1,516,1,600,40000,5
4,2,20002,1,600,300,100
5,2,20005,1,600,300,100
6,2,20008,1,600,300,100
7,2,20011,1,600,300,100
8,2,20014,1,600,300,100
9,2,20017,1,600,300,100
10,3,30006,1,600,1000,0
11,3,602,1,600,250,20
12,3,604,1,600,1000,10
13,3,12044,1,600,10000,1
14,3,12045,1,600,10000,1
15,3,12046,1,600,10000,1
16,3,12047,1,600,10000,1
17,3,12048,1,600,10000,1
18,3,12049,1,600,10000,1
19,3,12050,1,600,10000,1
20,3,12051,1,600,10000,1
21,3,12052,1,600,10000,1
22,3,12053,1,600,10000,1
23,3,12054,1,600,10000,1
