id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,450400,0,136,3,90071,600,80,0,409|9007
2,450401,0,136,3,90581,600,190,0,409|9058
3,450402,0,136,3,90961,600,230,0,409|9096
4,450403,0,136,3,90241,600,20,0,409|9024
5,450404,0,136,3,90361,600,190,0,409|9036
6,450405,0,136,3,90551,600,160,0,409|9055
7,450406,0,136,3,90531,600,460,0,409|9053
8,450407,0,136,3,90591,600,220,0,409|9059
9,450408,0,136,3,90571,600,110,0,409|9057
10,450409,0,136,3,90481,600,310,0,409|9048
11,450410,0,136,3,90821,600,1340,0,409|9082
12,450411,0,136,3,90711,600,220,0,409|9071
13,450412,0,136,3,90621,600,1200,0,409|9062
14,450413,0,136,3,90801,600,400,0,409|9080
15,450414,0,136,3,90941,600,310,0,409|9094
16,450415,0,136,3,90101,600,10,1,409|9010
17,450416,0,136,3,90251,600,40,1,409|9025
18,450417,0,136,3,90051,600,40,1,409|9005
19,450418,0,136,3,90261,600,110,1,409|9026
20,450419,0,136,3,90331,600,40,1,409|9033
21,450420,0,136,3,90061,600,50,1,409|9006
22,450421,0,136,3,90761,600,470,1,409|9076
23,450422,0,136,3,90441,600,60,1,409|9044
24,450423,0,136,3,90021,600,100,1,409|9002
25,450424,0,136,3,90641,600,200,1,409|9064
26,450425,0,136,3,90031,600,140,1,409|9003
27,450426,0,136,3,90401,600,120,1,409|9040
