id,妖精,不知道
1,100050,3000
2,100052,3000
3,100054,3000
4,100056,3000
5,100082,3000
6,100084,3000
7,100086,3000
8,100110,3000
9,100112,3000
10,100114,3000
11,100116,3000
12,100020,1000
13,100021,1000
14,100022,1000
15,100023,1000
16,100024,1000
17,100025,1000
18,100026,1000
19,100074,1000
20,100076,1000
21,100078,1000
22,100080,1000
23,100000,200
24,100001,200
25,100002,200
26,100003,200
27,100004,200
28,100005,200
29,100006,200
30,100007,200
31,100040,200
32,100044,200
33,100058,200
34,100060,200
35,100088,200
36,100122,200
37,100140,200
38,100144,200
39,100146,200
40,100148,200
