id,不知道,不知道,不知道
1,"[9965, 25, 10]","[9500, 500, 0]",0
2,"[9965, 25, 10]","[9475, 522, 3]",0
3,"[9964, 26, 10]","[9450, 544, 6]",0
4,"[9963, 27, 10]","[9425, 566, 9]",0
5,"[9963, 27, 10]","[9400, 588, 12]",0
6,"[9962, 28, 10]","[9375, 610, 15]",0
7,"[9962, 28, 10]","[9350, 632, 18]",0
8,"[9961, 29, 10]","[9325, 654, 21]",0
9,"[9960, 30, 10]","[9300, 676, 24]",0
10,"[9959, 31, 10]","[9275, 698, 27]",0
11,"[9959, 31, 10]","[9250, 720, 30]",0
12,"[9958, 32, 10]","[9225, 742, 33]",0
13,"[9957, 33, 10]","[9200, 764, 36]",0
14,"[9956, 34, 10]","[9175, 786, 39]",0
15,"[9956, 34, 10]","[9150, 808, 42]",0
16,"[9955, 35, 10]","[9125, 830, 45]",0
17,"[9954, 36, 10]","[9100, 852, 48]",0
18,"[9953, 37, 10]","[9075, 874, 51]",0
19,"[9952, 38, 10]","[9050, 896, 54]",0
20,"[9951, 39, 10]","[9025, 918, 57]",0
21,"[9951, 39, 10]","[9000, 940, 60]",0
22,"[9950, 40, 10]","[8975, 962, 63]",0
23,"[9949, 41, 10]","[8950, 984, 66]",0
24,"[9948, 42, 10]","[8925, 1006, 69]",0
25,"[9947, 43, 10]","[8900, 1028, 72]",0
26,"[9946, 44, 10]","[8875, 1050, 75]",0
27,"[9945, 45, 10]","[8850, 1072, 78]",0
28,"[9944, 46, 10]","[8825, 1094, 81]",0
29,"[9943, 47, 10]","[8800, 1116, 84]",0
30,"[9942, 48, 10]","[8775, 1138, 87]",0
31,"[9940, 50, 10]","[8750, 1160, 90]",0
32,"[9939, 51, 10]","[8725, 1182, 93]",0
33,"[9938, 52, 10]","[8700, 1204, 96]",0
34,"[9937, 53, 10]","[8675, 1226, 99]",0
35,"[9936, 54, 10]","[8650, 1248, 102]",0
36,"[9935, 55, 10]","[8625, 1270, 105]",0
37,"[9933, 57, 10]","[8600, 1292, 108]",0
38,"[9932, 58, 10]","[8575, 1314, 111]",0
39,"[9931, 59, 10]","[8550, 1336, 114]",0
40,"[9929, 61, 10]","[8525, 1358, 117]",0
41,"[9928, 62, 10]","[8500, 1380, 120]",0
42,"[9927, 63, 10]","[8475, 1402, 123]",0
43,"[9925, 65, 10]","[8450, 1424, 126]",0
44,"[9924, 66, 10]","[8425, 1446, 129]",0
45,"[9922, 68, 10]","[8400, 1468, 132]",0
46,"[9921, 69, 10]","[8375, 1490, 135]",0
47,"[9919, 71, 10]","[8350, 1512, 138]",0
48,"[9918, 72, 10]","[8325, 1534, 141]",0
49,"[9916, 74, 10]","[8300, 1556, 144]",0
50,"[9915, 75, 10]","[8275, 1578, 147]",0
51,"[9913, 77, 10]","[8250, 1600, 150]",0
52,"[9911, 79, 10]","[8225, 1622, 153]",0
53,"[9910, 80, 10]","[8200, 1644, 156]",0
54,"[9908, 82, 10]","[8175, 1666, 159]",0
55,"[9906, 84, 10]","[8150, 1688, 162]",0
56,"[9904, 86, 10]","[8125, 1710, 165]",0
57,"[9902, 88, 10]","[8100, 1732, 168]",0
58,"[9901, 89, 10]","[8075, 1754, 171]",0
