id,分组,妖精[fairy],内容
1,a1,100012,前面好像有不得了的事情发生呢。
2,a1,100010,又要记在我身上了吗……？
3,,0,
4,a2,100059,喂不二，你这家伙就老老实实待在我身后就行了。
5,a2,100061,说什么傻话，你才是需要被照顾的那个吧…
6,,0,
7,a3,100019,快闪开，不要挡住我的光辉！
8,a3,100018,……真是自大的家伙。
9,,0,
10,a4,100014,喂！挺直胸膛向前前进啊，骑士君！
11,a4,100015,知…知道了啦，不要催啊！
12,,0,
13,a5,100037,清扫时间清扫时间，把灰尘全都飞飞掉！
14,a5,100039,喂，卡萝尔，野外是不用打扫也打扫不干净的。
15,,0,
16,a6,100069,斯文亲，要不要换家住住看？
17,a6,100063,住在灯里旅游吗？看起来的确挺诱人的…
18,,0,
19,a7,100123,喂喂喂不要在这种野外优哉游哉的掏出钓鱼竿啊！
20,a7,100129,卢修斯大人，等待探索结束不就和等待鱼上钩一样吗？
21,,0,
22,a8,100073,灰姐姐曾经来过这些地方吧？
23,a8,100067,为了族群的未来我们的确迁徙过不少次数…
24,,0,
25,a9,100091,喂那边的骑士，我走不动了快背我一下…
26,a9,100125,真是麻烦的家伙，自己跟上队伍，坚持住！
27,,0,
28,a10,100121,那边的家伙，你身上有一股让人熟悉的气息。
29,a10,100014,你也是执行者？不对…你没有执行者的气息…
30,a10,100121,原来如此，没想到这个时代也有你这种妖精存在啊~
31,,0,
32,b1,100009,有什么要求尽管提就好，我会统统烧干净的。
33,b2,100009,我擅长的事情可不止有放火，不要误会了。
34,b3,100009,但要让我植树造林未免还是有点...
35,b4,100009,铭记我的功劳、尽情地歌颂我吧，人类。
36,b5,100009,要时刻对妖精抱以敬仰之情，对我更应如此。
37,b6,100009,你不必勉强自己，毕竟我实在是太过耀眼了。
38,b7,100090,要好好听从身为妖精女王的我的指示才行哦。
39,b8,100090,你真的很可靠呢，将你称作骑士也没有关系吧？...开玩笑的啦。
40,b9,100090,虽然和你有契约的关系存在，但同时我也是伟大的女王大人呢。
41,b10,100090,我希望能够得到你的谏言，得到你的认同是很重要的一步。
42,b11,100090,当然我也想要闪闪发光的东西，像是宝石...
43,b12,100068,我才不是实现愿望的妖精！除非你的愿望是除灵...？
44,b13,100068,就算你再怎么抚摸我的油灯也是没有用的，快住手！
45,b14,100068,我能够做的事情相当有限，要把我放到合适的位置上去！
46,b15,100068,所以说我真的不擅长赠送礼物之类的...!
47,b16,100068,最讨厌脏东西了...
48,b17,100132,...来一起看星星吧...不、没什么...
49,b18,100132,...这样看着我的话...
50,b19,100132,喜欢群星的光芒吗？诶？你说我...？
51,b20,100132,愿群星之光指引你前行...
52,b21,100132,...再、再多依赖我一些也可以...
53,b22,100028,今天也要去修剪花园吗？好耶~
54,b23,100028,有没有考虑过换一下发型呢...嘿嘿！开玩笑的啦~！
55,b24,100028,呜呜...又被姐姐骂了...
56,b25,100028,我错了！下次还...不对、下次不敢了~~！
57,b26,100028,我会好好帮忙的！所以请对维多利亚保密...拜托啦~
58,b27,100020,绿化的程度还远远不够呢！出发出发！
59,b28,100020,...我还能再长高的，对吧？
60,b29,100020,虽然到处都能够看见同伴，但我的生长趋势才是最猛烈的~！
61,b30,100020,快快长高长大吧~~
62,b31,100020,我最喜欢雨后泥土的气息了。
63,b32,100008,...轻飘飘~~呜...再让我休息一会嘛...
64,b33,100008,微风拂过的感觉...真的好舒服...Zzzz
65,b34,100008,我会、努力工作的...尽量！
66,b35,100008,真希望你也能像我一样飘起来呢...真的很舒服哦...
67,b36,100008,再等一会啦~~让我再飘一会...你也稍微休息一下嘛！
68,b37,100060,觉得很热？那就靠近我一些吧。
69,b38,100060,呼——我可以像这样吹出冷气来哦。
70,b39,100060,虽然不是不可以，但还是尽可能地不想要在夏天外出呢！
71,b40,100060,冬天到来的话，要尝试着堆雪人试试看吗？
72,b41,100060,似乎找到了有趣的东西呢，这都是大家的功劳哦。
73,b42,100001,我的织物和寻觅而来的财宝，哪样更有价值呢...？
74,b43,100001,感觉你会很适合这样的衣服呢...诶？没什么啦~
75,b44,100001,我的丝线可是很坚韧的哦，一定会为你派上用场的~
76,b45,100001,要小心注意啦，不要把自己缠住了哦？
77,b46,100005,对不起...我又把事情搞砸了...呜呜、都是我一个人的错...
78,b47,100005,我真的可以胜任吗...
79,b48,100005,对不起...我会更加努力的，呜...
80,b49,100005,好像找到了有用的东西呢...我、我有帮上忙吗？
81,b50,100005,呜...请不要欺负我啦...
82,b51,100002,新的旅途...在好好记录下来之前可不能睡过去。
83,b52,100002,Zzzzzzz...啊...刚刚是不是发生了什么？
84,b53,100002,积累的过程是很重要的...虽然有时候会睡过去。
85,b54,100002,似乎找到了有趣的东西呢，要好好地记下来才行...Zzzz
86,b55,100002,在这之后，要好好休息一下才行。
87,b56,100006,我会尽量不把墨水撒得到处都是的！
88,b57,100006,果然还是很想在这个地方留下一些标记呢~
89,b58,100006,找到了应该能派上用场的东西，上面没有我的标记哦！！
90,b59,100006,诶嘿嘿...不会迷路还是多亏了我呢？
91,b60,100006,好好运用我的话，或许也能避免在人生的道路上陷入迷惘哦？
92,b61,100000,这里、那里...诶？！不，什么也没有...！
93,b62,100000,我认为那边应该...不去看看吗...那也没关系啦...
94,b63,100000,这样做真的可以吗...果然还是先分类再上交比较合适...
95,b64,100000,会不会被认为总是多此一举呢...
96,b65,100000,我、我才没有啰嗦！只是谨慎而已吧！
97,b66,100094,真是让人感到怀念的地方啊~
98,b67,100094,不想被不小心滴上的的话，可要注意一些哦？
99,b68,100094,既然是我找到的东西，也分给我一些作为收藏嘛。
100,b69,100094,在某些国家，火漆印也是信任的象征哦...要不要滴上去试试看呢？
101,b70,100094,我可不是什么好糊弄的家伙哦。
102,b71,100130,要小心不要打扰到沉睡中的万物之灵哦。
103,b72,100130,宝物固然贵重，但生命才是真正的无价之宝。
104,b73,100130,如果可以的话，我还是希望尽量避免争斗...
105,b74,100130,不可以随意践踏草坪哦！
106,b75,100130,已经是最后关头了~大家，再稍微努力一下吧！
107,b76,100110,今天要飘到哪里去呢...
108,b77,100110,怎么只剩下我一个人了啦...?!
109,b78,100110,我找到了...诶？！被吹走了啦！！
110,b79,100110,不小心撞到树了...好痛...
111,b80,100110,这次真的拿到了...给你~！
112,b81,100112,今天要飘到哪里去呢...
113,b82,100112,怎么只剩下我一个人了...?!
114,b83,100112,我找到了...诶？！你说好烫？对不起！
115,b84,100112,不小心撞到树了...好痛...
116,b85,100112,这次真的不会烫到了！给你~
117,b86,100114,今天要飘到哪里去呢...
118,b87,100114,怎么只剩下我一个人了啦...?!
119,b88,100114,我找到了...诶？！被吹走了啦！！
120,b89,100114,不小心撞到石头了...好痛...
121,b90,100114,这次真的拿到了...给你~！
122,b91,100116,今天要飘到哪里去呢...
123,b92,100116,怎么只剩下我一个人了啦...?!
124,b93,100116,我找到了...呜、好像湿哒哒的...
