id,不知道,不知道,不知道,不知道,不知道,不知道
80,800,[7000002],[],LobbyController,0,0
81,810,[7000006],"[400, 434, 442]",TownController,6000013,0
82,820,"[7000007, 7000008]","[403, 405]",TownController,6000014,0
83,830,"[7000009, 7000010]","[401, 432]",TownController,0,0
84,840,[7000003],[402],TownController,0,0
85,850,[7000013],[424],TownController,6000034,0
86,860,[7000005],"[417, 441]",TownController,0,0
87,870,"[7000011, 7000012]","[429, 457]",TownController,6000015,0
88,880,[7000004],"[404, 423]",TownController,6000019,0
89,890,[],"[427, 425]",TownController,6000026,0
90,900,[],"[435, 437]",TownController,6000040,0
