id,内容,不知道
1,崩坏3,①
2,崩坏,②
3,崩,③
4,明日方舟,④
5,方舟,⑤
6,舟游,⑥
7,舟,⑦
8,周游,⑧
9,benghuai,⑨
10,beng,⑩
11,zhouyou,⑪
12,zy,⑫
13,bh,⑬
14,bh3,⑭
15,抄袭,⑮
16,chaoxi,⑯
17,天下第一,⑰
18,米哈游,⑱
19,mhy,⑲
20,hy,⑳
21,鹰角,⓪
22,yingjiao,❶
23,抄,❷
24,原神,❸
25,yuanshen,❹
26,ys,❺
27,q,❻
28,群,❼
29,qun,❽
30,三蹦子,❾
31,三崩子,❿
32,蹦坏3,⓫
33,蹦坏,⓬
34,蹦,⓭
35,大伟哥,⓮
36,米忽悠,⓯
37,刁进评下台,⓰
38,进评,⓱
39,吓台,⓲
40,吓抬,⓳
41,尽平,⓴
42,尽评,㊀
43,进屏,㊁
44,夏台,㊂
45,进,㊃
46,近,㊄
47,尽,㊅
48,禁,㊆
49,劲,㊇
50,晋,㊈
51,屏,㊉
52,萍,㈠
53,瓶,㈡
54,凭,㈢
55,频,㈣
56,下课,㈤
57,吓课,㈥
58,台,㈦
59,抬,㈧
60,刁进平吓抬,㈨
61,习尽评吓台,㈩
62,下台,⑴
63,习,⑵
64,刁,⑶
65,叼,⑷
66,ㄩ,⑸
67,ㄔ,⑹
68,ㄓ,⑺
69,ㄒ,⑻
70,ㄑ,⑼
71,ㄐ,⑽
72,ㄏ,⑾
73,ㄎ,⑿
74,ㄍ,⒀
75,ㄌ,⒁
76,ㄋ,⒂
77,ㄊ,⒃
78,ㄉ,⒄
79,ㄈ,⒅
80,ㄇ,⒆
81,ㄆ,⒇
82,ㄅ,⒈
83,&,⒉
84,ㄕ,⒊
85,ㄖ,⒋
86,ㄗ,⒌
87,ㄨ,⒍
88,ㄧ,⒎
89,ㄦ,⒏
90,ㄥ,⒐
91,ㄤ,⒑
92,ㄣ,⒒
93,ㄢ,⒓
94,ㄡ,⒔
95,ㄠ,⒕
96,ㄟ,⒖
97,ㄞ,⒗
98,ㄝ,⒘
99,ㄜ,⒙
100,ㄛ,⒚
101,ㄚ,⒛
102,ㄙ,Ⅰ
103,ㄘ,Ⅱ
104,运营人,Ⅲ
105,运营官,Ⅳ
106,巡查,Ⅴ
107,审查,Ⅵ
108,维护,Ⅶ
109,官方,Ⅷ
110,冬季热,Ⅸ
111,活动管理员,Ⅹ
112,服务器,Ⅺ
113,服务管理,Ⅻ
114,管理,ⅰ
115,管理员,ⅱ
116,管里,ⅲ
117,儿子,ⅳ
118,奶,ⅴ
119,爷,ⅵ
120,爹,ⅶ
121,爸,ⅷ
122,妈,ⅸ
123,监督,ⅹ
124,监管,Ⓐ
125,CS,Ⓑ
126,运营长,Ⓒ
127,运营商,Ⓓ
128,运营组,Ⓔ
129,运营者,Ⓕ
130,运营,Ⓖ
131,辅助程序,Ⓗ
132,服务天使,Ⓘ
133,客服,Ⓙ
134,客户服务,Ⓚ
135,助理,Ⓛ
136,KeFu,Ⓜ
137,铀,Ⓝ
138,譙,Ⓞ
139,槧,Ⓟ
140,Server,Ⓠ
141,檾,Ⓡ
142,id666.uqc.cn,Ⓢ
143,game,Ⓣ
