id,不知道,天数,奖励[item],数量,大奖标记
1,0,1,501,50,0
2,0,2,500,2000,0
3,0,3,501,50,0
4,0,4,500,2000,0
5,0,5,501,50,0
6,0,6,500,2000,0
7,0,7,510,3,1
8,0,8,514,15,1
9,0,9,501,50,0
10,0,10,500,4000,0
11,0,11,501,50,0
12,0,12,500,4000,0
13,0,13,501,50,0
14,0,14,500,4000,0
15,0,15,510,3,1
16,0,16,515,10,1
17,0,17,501,50,0
18,0,18,500,5000,0
19,0,19,501,50,0
20,0,20,500,5000,0
21,0,21,501,50,0
22,0,22,500,5000,0
23,0,23,510,3,1
24,0,24,516,5,1
25,0,25,501,100,0
26,0,26,500,6000,0
27,0,27,501,100,0
28,0,28,510,10,1
29,0,29,500,6000,0
30,0,30,501,100,0
31,0,31,500,6000,0
32,1,1,501,50,0
33,1,2,500,2000,0
34,1,3,501,50,0
35,1,4,500,2000,0
36,1,5,501,50,0
37,1,6,500,2000,0
38,1,7,510,3,1
39,1,8,514,15,1
40,1,9,501,50,0
41,1,10,500,4000,0
42,1,11,501,50,0
43,1,12,500,4000,0
44,1,13,501,50,0
45,1,14,500,4000,0
46,1,15,510,3,1
47,1,16,515,10,1
48,1,17,501,50,0
49,1,18,500,5000,0
50,1,19,501,50,0
51,1,20,500,5000,0
52,1,21,501,50,0
53,1,22,500,5000,0
54,1,23,510,3,1
55,1,24,516,5,1
56,1,25,501,100,0
57,1,26,500,6000,0
58,1,27,501,100,0
59,1,28,510,10,1
60,1,29,500,6000,0
61,1,30,501,100,0
62,1,31,500,6000,0
