id,不知道,不知道
1,1,prefabs/ui/tinygame/cloth/1
2,1,prefabs/ui/tinygame/cloth/2
3,1,prefabs/ui/tinygame/cloth/3
4,1,prefabs/ui/tinygame/cloth/4
5,1,prefabs/ui/tinygame/cloth/5
6,1,prefabs/ui/tinygame/cloth/6
7,1,prefabs/ui/tinygame/cloth/7
8,1,prefabs/ui/tinygame/cloth/8
9,1,prefabs/ui/tinygame/cloth/9
10,1,prefabs/ui/tinygame/cloth/10
11,0,prefabs/ui/tinygame/cloth/11
12,0,prefabs/ui/tinygame/cloth/12
13,0,prefabs/ui/tinygame/cloth/13
14,0,prefabs/ui/tinygame/cloth/14
15,0,prefabs/ui/tinygame/cloth/15
16,0,prefabs/ui/tinygame/cloth/16
17,0,prefabs/ui/tinygame/cloth/17
18,0,prefabs/ui/tinygame/cloth/18
19,0,prefabs/ui/tinygame/cloth/19
20,0,prefabs/ui/tinygame/cloth/20
