id,描述,内容,不知道,图标,不知道,不知道
100,1000,1001,0,sprite/common/common/icon/mark/icon_caiji.png,1,
101,1010,1011,0,sprite/common/common/icon/mark/icon_elflist.png,0,
102,1020,1021,0,sprite/common/common/icon/mark/icon_elflist.png,0,
103,1030,1031,1,,0,materialLimit
104,1040,1041,0,sprite/common/common/icon/mark/icon_elflist.png,0,
105,1050,1051,0,sprite/common/common/icon/mark/icon_elflist.png,0,
106,1060,1061,0,sprite/common/common/icon/mark/icon_elflist.png,0,
107,1070,1071,0,sprite/common/common/icon/mark/icon_elflist.png,0,
108,1080,1081,1,,1,
109,1090,1091,0,sprite/common/common/icon/mark/icon_sale.png,0,unlockLevel
110,1100,1101,0,sprite/common/common/icon/mark/icon_caiji.png,1,
111,1110,1111,0,sprite/common/common/icon/mark/icon_xiangting.png,1,
112,1120,1121,1,,1,materialLimit
113,1130,1131,1,,0,
114,1140,1141,0,sprite/common/common/icon/mark/icon_elflist.png,0,
115,1150,1151,0,sprite/common/common/icon/mark/icon_xiangting.png,1,
116,1160,1161,0,sprite/common/common/icon/mark/icon_lianjin.png,1,
117,1170,1171,0,sprite/common/common/icon/mark/icon_elflist.png,0,
118,1180,1181,0,sprite/common/common/icon/mark/icon_weituoban.png,1,
119,1190,1191,0,sprite/common/common/icon/mark/icon_zhaohuan.png,1,
120,1200,1201,0,sprite/common/common/icon/mark/icon_caiji.png,1,
121,1210,1211,0,sprite/common/common/icon/mark/icon_elflist.png,0,
122,1220,1221,0,sprite/common/common/icon/mark/icon_caiji.png,0,
123,1230,1231,0,sprite/common/common/icon/mark/icon_lianjin.png,0,
124,1240,1241,0,sprite/common/common/icon/mark/icon_shop0.png,1,
125,1250,1251,0,sprite/common/common/icon/mark/icon_zhuangshi.png,1,
126,1260,1261,0,sprite/common/common/icon/mark/icon_pray.png,1,
127,1270,1271,1,,0,
128,1280,1281,1,,1,
129,1290,1291,0,sprite/common/common/icon/mark/icon_sale.png,0,
130,1300,1301,0,sprite/common/common/icon/mark/icon_sale.png,0,
131,1310,1311,0,sprite/common/common/icon/mark/icon_tinygame.png,1,
132,1320,1321,0,sprite/common/common/icon/mark/icon_caiji.png,0,
133,1330,1331,0,sprite/common/common/icon/mark/icon_gift.png,1,
134,1340,1341,0,sprite/common/common/icon/mark/icon_sale.png,1,
135,1350,1351,0,sprite/common/common/icon/mark/icon_sale.png,1,
136,1360,1361,1,,1,materialLimit
137,1370,1371,0,sprite/common/common/icon/mark/icon_gift.png,0,
138,1380,1381,0,sprite/common/common/icon/mark/icon_ship.png,1,
139,1390,1391,0,sprite/common/common/icon/mark/icon_caiji.png,1,
140,1400,1401,1,sprite/common/common/icon/mark/icon_xiangting.png,1,
141,1410,1411,1,sprite/common/common/icon/mark/icon_lianjin.png,1,
142,1420,1421,0,sprite/common/common/icon/mark/icon_caiji.png,1,
143,1430,1431,0,sprite/common/common/icon/mark/icon_elflist.png,1,
144,1440,1441,0,sprite/common/common/icon/mark/icon_sale.png,1,
145,1450,1451,0,sprite/common/common/icon/mark/icon_gift.png,0,
146,1460,1461,0,sprite/common/common/icon/mark/icon_weituoban.png,0,
147,1470,1471,0,sprite/common/common/icon/mark/icon_weituoban.png,0,
148,1480,1481,0,sprite/common/common/icon/mark/icon_tinygame.png,0,
149,1490,1491,0,sprite/common/common/icon/mark/icon_pray.png,0,
150,1500,1501,0,sprite/common/common/icon/mark/icon_weituoban.png,1,
151,1510,1511,0,sprite/common/common/icon/mark/icon_weituoban.png,1,
