id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
9000,1,50|55|60|75,5|5|5|5,2&5|1&4|1&5|1&1,0|0|0|1000,1,7000003,490000,490001,9000,1000
9001,1,100|110|120|150,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000013,490010,490011,9000,1000
9002,3,1350|1485|1620|2025,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490020,490021,9002,2000
9003,3,1750|1925|2100|2625,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000011,490030,490031,9002,2000
9004,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000007,490040,490041,9000,1000
9005,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,490050,490051,9001,1500
9006,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000009,490060,490061,9001,1500
9007,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000007,490070,490071,9001,1500
9008,4,3900|4290|4680|5850,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,490080,490081,9003,2500
9009,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490090,490091,9001,1500
9010,1,200|220|240|300,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000004,490100,490101,9000,1000
9011,1,450|495|540|675,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000007,490110,490111,9000,1000
9012,2,500|550|600|750,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000010,490120,490121,9001,1500
9013,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000009,490130,490131,9000,1000
9014,2,500|550|600|750,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000006,490140,490141,9001,1500
9015,3,1150|1265|1380|1725,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490150,490151,9002,2000
9016,2,750|825|900|1125,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000012,490160,490161,9001,1500
9017,4,2400|2640|2880|3600,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000008,490170,490171,9003,2500
9018,5,10250|11275|12300|15375,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,490180,490181,9004,3000
9019,1,100|110|120|150,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000005,490190,490191,9000,1000
9020,4,2400|2640|2880|3600,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000010,490200,490201,9003,2500
9021,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000010,490210,490211,9001,1500
9022,1,50|55|60|75,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000010,490220,490221,9000,1000
9023,4,2650|2915|3180|3975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490230,490231,9003,2500
9024,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000005,490240,490241,9000,1000
9025,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000003,490250,490251,9001,1500
9026,3,1400|1540|1680|2100,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000007,490260,490261,9002,2000
9027,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000004,490270,490271,9001,1500
9028,5,8300|9130|9960|12450,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,490280,490281,9004,3000
9029,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000006,490290,490291,9000,1000
9030,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000010,490300,490301,9000,1000
9031,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490310,490311,9001,1500
9032,4,3650|4015|4380|5475,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000013,490320,490321,9003,2500
9033,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000007,490330,490331,9001,1500
9034,3,1800|1980|2160|2700,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490340,490341,9002,2000
9035,2,750|825|900|1125,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000006,490350,490351,9001,1500
9036,3,1450|1595|1740|2175,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490360,490361,9002,2000
9037,4,3350|3685|4020|5025,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000009,490370,490371,9003,2500
9038,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000012,490380,490381,9000,1000
9039,4,2950|3245|3540|4425,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490390,490391,9003,2500
9040,3,1500|1650|1800|2250,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490400,490401,9002,2000
9041,3,1600|1760|1920|2400,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000003,490410,490411,9002,2000
9042,4,2000|2200|2400|3000,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490420,490421,9003,2500
9043,4,4650|5115|5580|6975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,490430,490431,9003,2500
9044,2,800|880|960|1200,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490440,490441,9001,1500
9045,5,7100|7810|8520|10650,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,490450,490451,9004,3000
9046,4,2350|2585|2820|3525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,490460,490461,9003,2500
9047,4,3000|3300|3600|4500,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,490470,490471,9003,2500
9048,4,2350|2585|2820|3525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,490480,490481,9003,2500
9049,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,490490,490491,9001,1500
9050,3,1600|1760|1920|2400,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000004,490500,490501,9002,2000
9051,3,2750|3025|3300|4125,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000007,490510,490511,9002,2000
9052,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490520,490521,9001,1500
9053,4,3450|3795|4140|5175,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,490530,490531,9003,2500
9054,3,3100|3410|3720|4650,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000009,490540,490541,9002,2000
9055,3,1200|1320|1440|1800,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000005,490550,490551,9002,2000
9056,3,3300|3630|3960|4950,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000008,490560,490561,9002,2000
9057,3,850|935|1020|1275,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000005,490570,490571,9002,2000
9058,3,1450|1595|1740|2175,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000007,490580,490581,9002,2000
9059,3,1650|1815|1980|2475,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000003,490590,490591,9002,2000
9060,3,1200|1320|1440|1800,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490600,490601,9002,2000
9061,4,2000|2200|2400|3000,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000013,490610,490611,9003,2500
9062,5,9050|9955|10860|13575,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000010,490620,490621,9004,3000
9063,3,1550|1705|1860|2325,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000012,490630,490631,9002,2000
9064,4,2550|2805|3060|3825,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000010,490640,490641,9003,2500
9065,3,1500|1650|1800|2250,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000004,490650,490651,9002,2000
9066,3,700|770|840|1050,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000003,490660,490661,9002,2000
9067,5,9350|10285|11220|14025,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000010,490670,490671,9004,3000
9068,5,8350|9185|10020|12525,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,490680,490681,9004,3000
