id,不知道,下级所需影响力,不知道,不知道
1,100,100,"[5, 5, 10, 10, 20, 20]",100
2,200,300,"[5, 10, 10, 15, 35, 35]",200
3,300,600,"[5, 10, 15, 25, 50, 55]",300
4,400,1000,"[10, 15, 20, 30, 65, 75]",400
5,800,1800,"[10, 15, 25, 40, 80, 95]",500
6,800,2600,"[15, 20, 35, 50, 100, 115]",600
7,800,3400,"[15, 25, 40, 60, 120, 140]",700
8,900,4300,"[20, 30, 45, 70, 145, 165]",800
9,1000,5300,"[20, 35, 55, 80, 165, 190]",900
10,1100,6400,"[25, 40, 60, 90, 190, 220]",1000
11,1300,7700,"[30, 45, 65, 100, 215, 245]",1000
12,1400,9100,"[35, 50, 75, 110, 240, 275]",1000
13,1500,10600,"[35, 55, 85, 125, 265, 305]",1000
14,1700,12300,"[40, 60, 90, 135, 290, 335]",1000
15,1800,14100,"[45, 65, 100, 150, 320, 365]",1000
16,2000,16100,"[50, 75, 110, 160, 345, 400]",1000
17,2200,18300,"[55, 80, 115, 175, 375, 430]",1000
18,2300,20600,"[60, 85, 125, 190, 405, 465]",1000
19,2500,23100,"[65, 90, 135, 200, 435, 500]",1000
20,2700,25800,"[70, 100, 145, 215, 465, 535]",1000
21,2900,28700,"[75, 105, 155, 230, 495, 570]",1000
22,3100,31800,"[80, 115, 165, 245, 525, 605]",1000
23,3400,35200,"[85, 120, 175, 260, 560, 645]",1000
24,3600,38800,"[90, 130, 185, 275, 590, 680]",1000
25,3900,42700,"[95, 135, 195, 290, 625, 720]",1000
26,4200,46900,"[100, 145, 205, 305, 660, 760]",1000
27,4500,51400,"[105, 150, 215, 320, 695, 800]",1000
28,4800,56200,"[110, 160, 225, 335, 725, 840]",1000
29,5100,61300,"[120, 165, 235, 355, 765, 880]",1000
30,5500,66800,"[125, 175, 245, 370, 800, 920]",1000
31,5900,72700,"[130, 185, 260, 385, 835, 965]",2000
32,6400,79100,"[135, 190, 270, 405, 870, 1005]",2000
33,6900,86000,"[145, 200, 280, 420, 910, 1050]",2000
34,7500,93500,"[150, 210, 295, 440, 945, 1090]",2000
35,8100,101600,"[155, 220, 305, 455, 985, 1135]",2000
36,8700,110300,"[165, 230, 315, 475, 1020, 1180]",3000
37,9500,119800,"[170, 235, 330, 490, 1060, 1225]",3000
38,10000,129800,"[180, 245, 340, 510, 1100, 1270]",3000
39,11000,140800,"[185, 255, 350, 525, 1140, 1315]",3000
40,12000,152800,"[195, 265, 365, 545, 1180, 1360]",3000
41,13000,165800,"[200, 275, 375, 565, 1220, 1405]",3000
42,14000,179800,"[210, 285, 390, 585, 1260, 1455]",3000
43,15000,194800,"[215, 295, 400, 600, 1300, 1500]",3000
44,17000,211800,"[225, 305, 415, 620, 1345, 1550]",3000
45,19000,230800,"[230, 315, 430, 640, 1385, 1600]",3000
46,20000,250800,"[240, 325, 440, 660, 1430, 1645]",3000
47,22000,272800,"[245, 335, 455, 680, 1470, 1695]",3000
48,25000,297800,"[255, 345, 465, 700, 1515, 1745]",3000
49,27000,324800,"[265, 355, 480, 720, 1555, 1795]",3000
50,30000,354800,"[270, 365, 495, 740, 1600, 1845]",3000
51,32000,386800,"[280, 375, 510, 760, 1645, 1895]",3000
52,33000,419800,"[290, 390, 520, 780, 1690, 1950]",3000
53,35000,454800,"[300, 400, 535, 800, 1735, 2000]",3000
54,37000,491800,"[305, 410, 550, 820, 1780, 2050]",3000
55,39000,530800,"[315, 420, 565, 845, 1825, 2105]",3000
56,41000,571800,"[325, 435, 575, 865, 1870, 2155]",3000
57,43000,614800,"[335, 445, 590, 885, 1915, 2210]",3000
58,45000,659800,"[345, 455, 605, 905, 1960, 2265]",3000
59,48000,707800,"[350, 465, 620, 930, 2010, 2315]",3000
60,50000,757800,"[360, 480, 635, 950, 2055, 2370]",3000
61,53000,810800,"[370, 490, 650, 970, 2105, 2425]",3000
62,55000,865800,"[380, 505, 665, 995, 2150, 2480]",3000
63,58000,923800,"[390, 515, 680, 1015, 2200, 2535]",3000
64,61000,984800,"[400, 525, 695, 1040, 2245, 2590]",3000
65,64000,1048800,"[410, 540, 710, 1060, 2295, 2645]",3000
66,68000,1116800,"[420, 550, 725, 1085, 2345, 2705]",3000
67,71000,1187800,"[430, 565, 740, 1105, 2395, 2760]",3000
68,75000,1262800,"[440, 575, 755, 1130, 2440, 2815]",3000
69,79000,1341800,"[450, 590, 770, 1150, 2490, 2875]",3000
70,83000,1424800,"[460, 600, 785, 1175, 2540, 2930]",3000
71,87000,1511800,"[470, 615, 800, 1200, 2590, 2990]",3000
72,91000,1602800,"[480, 625, 815, 1220, 2640, 3050]",3000
73,96000,1698800,"[490, 640, 830, 1245, 2695, 3105]",3000
74,101000,1799800,"[505, 650, 845, 1270, 2745, 3165]",3000
75,106000,1905800,"[515, 665, 860, 1290, 2795, 3225]",3000
76,111000,2016800,"[525, 680, 880, 1315, 2845, 3285]",3000
77,117000,2133800,"[535, 690, 895, 1340, 2900, 3345]",3000
78,123000,2256800,"[545, 705, 910, 1365, 2950, 3405]",3000
79,129000,2385800,"[555, 720, 925, 1385, 3005, 3465]",3000
80,136000,2521800,"[570, 730, 940, 1410, 3055, 3525]",3000
81,143000,2664800,"[580, 745, 960, 1435, 3110, 3585]",3000
82,150000,2814800,"[590, 760, 975, 1460, 3160, 3650]",3000
83,158000,2972800,"[600, 770, 990, 1485, 3215, 3710]",3000
84,166000,3138800,"[615, 785, 1010, 1510, 3270, 3770]",3000
85,175000,3313800,"[625, 800, 1025, 1535, 3325, 3835]",3000
86,184000,3497800,"[635, 815, 1040, 1560, 3375, 3895]",3000
87,193000,3690800,"[650, 830, 1060, 1585, 3430, 3960]",3000
88,203000,3893800,"[660, 840, 1075, 1610, 3485, 4020]",3000
89,213000,4106800,"[670, 855, 1090, 1635, 3540, 4085]",3000
90,224000,4330800,"[685, 870, 1110, 1660, 3595, 4150]",3000
91,235000,4565800,"[695, 885, 1125, 1685, 3650, 4215]",3000
92,248000,4813800,"[710, 900, 1145, 1715, 3710, 4280]",3000
93,260000,5073800,"[720, 915, 1160, 1740, 3765, 4340]",3000
94,273000,5346800,"[735, 930, 1175, 1765, 3820, 4405]",3000
95,287000,5633800,"[745, 945, 1195, 1790, 3875, 4470]",3000
96,302000,5935800,"[755, 960, 1210, 1815, 3935, 4535]",3000
97,318000,6253800,"[770, 975, 1230, 1845, 3990, 4605]",3000
98,334000,6587800,"[780, 990, 1245, 1870, 4045, 4670]",3000
99,351000,6938800,"[795, 1005, 1265, 1895, 4105, 4735]",3000
100,369000,7307800,"[810, 1020, 1280, 1920, 4160, 4800]",3000
101,388000,7695800,"[820, 1035, 1300, 1950, 4220, 4870]",3000
102,407000,8102800,"[835, 1050, 1320, 1975, 4275, 4935]",3000
103,428000,8530800,"[845, 1065, 1335, 2000, 4335, 5000]",3000
104,450000,8980800,"[860, 1080, 1355, 2030, 4395, 5070]",3000
105,473000,9453800,"[870, 1095, 1370, 2055, 4450, 5135]",3000
106,497000,9950800,"[885, 1110, 1390, 2085, 4510, 5205]",3000
107,523000,10473800,"[900, 1125, 1410, 2110, 4570, 5275]",3000
108,549000,11022800,"[910, 1140, 1425, 2140, 4630, 5340]",3000
109,577000,11599800,"[925, 1155, 1445, 2165, 4690, 5410]",3000
110,607000,12206800,"[940, 1170, 1465, 2195, 4750, 5480]",3000
111,638000,12844800,"[950, 1190, 1480, 2220, 4810, 5550]",3000
112,670000,13514800,"[965, 1205, 1500, 2250, 4870, 5620]",3000
113,704000,14218800,"[980, 1220, 1520, 2275, 4930, 5685]",3000
114,740000,14958800,"[995, 1235, 1535, 2305, 4990, 5755]",3000
115,778000,15736800,"[1005, 1250, 1555, 2335, 5050, 5830]",3000
116,818000,16554800,"[1020, 1270, 1575, 2360, 5110, 5900]",3000
117,860000,17414800,"[1035, 1285, 1595, 2390, 5175, 5970]",3000
118,904000,18318800,"[1050, 1300, 1610, 2415, 5235, 6040]",3000
119,950000,19268800,"[1065, 1315, 1630, 2445, 5295, 6110]",3000
120,998000,20266800,"[1080, 1335, 1650, 2475, 5360, 6180]",3000
