id,图标,按钮,名称,文本2,不知道,不知道,描述,不知道,不知道,不知道,不知道
400,sprite/common/common/icon/mark/icon_ask.png,,4000,,1,1.5,4002,TownController,6000021,0,
401,sprite/common/common/icon/mark/icon_weituoban.png,,4010,4011,0,,,TownController,6001000,0,
402,sprite/common/common/icon/mark/icon_shop1.png,,4020,,1,1.5,4022,TownController,6000012,0,
403,sprite/common/common/icon/mark/icon_shop2.png,,4030,,0,,,TownController,6000014,0,
404,sprite/common/common/icon/mark/icon_shop3.png,,4040,,0,,,TownController,6000019,0,
405,sprite/common/common/icon/mark/icon_pray.png,,4050,,1,1.5,4052,TownController,6000018,0,
406,sprite/common/common/icon/mark/icon_caiji.png,sprite/common/common/btn_icon/btn_chuzheng.png,4060,4061,1,1.5,4062,DispatchController,6001002,0,0.586521
407,sprite/common/common/icon/mark/icon_xiangting.png,sprite/common/common/btn_icon/btn_xiangting.png,4070,4071,1,1.5,4072,PottingController,6000006,0,0.663611
408,sprite/common/common/icon/mark/icon_zhaohuan.png,sprite/common/common/btn_icon/btn_zhaohuan.png,4080,4081,1,1.5,4082,Summon,6000002,0,0.590708
409,sprite/common/common/icon/mark/icon_lianjin.png,sprite/common/common/btn_icon/btn_lianjin.png,4090,4091,0,,,MetallurgyController,0,0,0.341276
410,sprite/common/common/icon/mark/icon_weituoban.png,,4100,4101,1,1.5,4102,LobbyController,6001000,0,
411,sprite/common/common/icon/mark/icon_decompose.png,,4110,,0,,,LobbyController,0,0,
412,sprite/common/common/icon/mark/icon_pray.png,,4120,,0,,,LobbyController,0,0,
413,sprite/common/common/btn_area/btn_rizhiqu.png,,4130,4131,1,1.5,4132,LobbyController,6000014,0,
414,sprite/common/common/icon/mark/icon_ask.png,,4140,,0,,,LobbyController,0,0,
415,sprite/common/common/icon/mark/icon_zhuangshi.png,,4150,,1,1.5,4152,LobbyController,6000019,0,
416,sprite/common/common/icon/mark/icon_qiandao.png,,4160,,0,,,LobbyController,6000008,0,
417,sprite/common/common/icon/mark/icon_shop4.png,,4170,,0,,,TownController,6000016,0,
418,sprite/common/common/icon/mark/icon_shop4.png,,4180,,0,,,LobbyController,0,0,
419,sprite/common/common/btn_area/btn_xuanguan.png,,4190,,0,,,TownController,6000012,0,
420,sprite/common/common/btn_area/btn_biluqu.png,sprite/common/common/btn_icon/btn_youjian.png,4200,4201,0,,,LobbyController,0,0,0.404855
421,sprite/common/common/icon/mark/icon_lianjin.png,,4210,4211,0,,,MetallurgyController,0,0,
422,sprite/common/common/icon/mark/icon_sale.png,sprite/common/common/btn_icon/btn_fanmai.png,4220,4221,1,1.5,4222,SaleController,6000001,0,0.464562
423,sprite/common/common/icon/mark/icon_tinygame2.png,,4230,,1,1.5,4232,FishingController,6000049,0,
424,sprite/common/common/icon/mark/icon_tinygame1.png,,4240,,1,1.5,4242,SweepController,6000035,0,
425,sprite/common/common/icon/mark/icon_shop5.png,,4250,,0,,,TownController,6000026,0,
426,sprite/common/common/icon/mark/icon_shop4.png,,4260,,0,,,TownController,6000024,0,
427,sprite/common/common/icon/mark/icon_market.png,,4270,,1,1.5,4272,TownController,6000044,0,
428,sprite/common/common/icon/mark/icon_gift.png,,4280,,1,1.5,4282,TownController,6000015,0,
429,sprite/common/common/icon/mark/icon_gossip.png,,4290,,1,1.5,4292,TownController,6000016,0,
430,sprite/common/common/icon/mark/icon_gossip.png,,4300,4301,0,,,LobbyController,6000001,0,
431,sprite/common/common/icon/mark/icon_auto.png,,4310,,1,1.5,4312,PottingController,6000021,0,
432,sprite/common/common/icon/mark/icon_shop6.png,,4320,,0,,,TownController,6000012,0,
433,sprite/common/common/icon/mark/icon_shejiao.png,,4330,,1,1.5,4332,ContactController,6000022,0,
434,sprite/common/common/icon/mark/icon_cangshuge.png,,4340,,0,,,TownController,6000040,0,
435,sprite/common/common/icon/mark/icon_shop0.png,,4350,,0,,,TownController,6000040,0,
436,sprite/common/common/icon/mark/icon_worldline.png,,4360,,0,,,WorldlineController,6000040,0,
437,sprite/common/common/icon/mark/icon_camp_mission.png,,4370,,0,,,TownController,6000040,0,
438,sprite/common/common/icon/mark/icon_mission.png,,4380,,0,,,ContactController,6000022,0,
439,sprite/common/common/icon/mark/icon_mission.png,,4390,,0,,,TownController,6000040,0,
440,sprite/common/common/icon/mark/icon_worldline.png,,4400,4401,0,,,DispatchController,6000149,0,
