id,不知道,不知道,不知道,不知道,不知道,不知道
1,2,0,0,1,0,6000000
2,3,1,1,2,0,6000000
3,4,10000,5,2,0,6000000
4,0,10001,7,2,0,6000000
5,6,11,11,2,0,6000001
6,0,10002,16,2,0,6000001
7,8,1022,2000,2,0,6000002
8,9,10003,25,2,0,6000002
9,0,28,28,2,0,6000002
10,40,30,2001,2,0,6000003
11,0,10004,34,2,0,6000003
13,14,39,2002,2,0,6000007
14,0,10005,43,2,0,6000007
15,16,,46,2,0,6000007
16,0,47,47,2,0,6000007
17,18,51,51,2,0,6000011
18,0,10009,54,2,0,6000011
19,0,10010,2003,2,0,6000013
20,0,,62,2,0,6000014
21,0,66,2004,2,0,6000015
22,0,1009,1009,2,0,6000016
23,0,74,74,2,0,6000017
24,0,78,78,2,0,6000019
25,0,80,80,2,0,6000020
26,0,84,84,2,0,6000026
27,0,86,86,2,0,6000018
28,0,,90,2,0,0
29,0,,92,2,0,0
30,0,,93,2,0,0
31,0,,100,2,0,0
32,0,,112,2,0,0
33,0,,115,2,6001001,0
34,0,,121,2,0,0
35,0,,124,2,0,0
36,0,Socialize1,Socialize1,1,6000022,0
37,0,20001,20000,2,0,6001002
38,0,20003,20003,2,0,6001003
39,0,20005,20005,2,0,0
40,0,10011,1013,2,0,6000003
41,0,,30000,2,0,0
