id,名称,描述,开发备注,图标,不知道,不知道,类型,类型名[text],不知道,星级,不知道,不知道,获取方式,不知道
500,5000,5001,5002,sprite/common/item/icon/coin/item_coin.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5003,0,0,0,0,422|0,0
501,5010,5011,5012,sprite/common/item/icon/coin/item_mojing.png,sprite/common/common/icon/coin/coin_mojing.png,0,1,5013,0,0,0,0,,0
502,5020,5021,5022,sprite/common/item/icon/coin/item_502.png,sprite/common/common/icon/coin/coin_canzha.png,0,1,5023,0,0,0,0,411|2,3
503,5030,5031,5032,sprite/common/item/icon/coin/item_503.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5033,0,0,5,500,,3
504,5040,5041,5042,sprite/common/item/icon/coin/item_504.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5043,0,0,10,500,,3
505,5050,5051,,sprite/common/item/icon/coin/item_mp.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5053,0,0,0,0,,3
506,5060,5061,,sprite/common/item/icon/coin/item_influence.png,sprite/common/common/icon/coin/coin_influence.png,0,1,5063,0,0,0,0,,0
507,5070,5071,,sprite/common/item/icon/coin/item_influence.png,sprite/common/common/icon/coin/icon_influence.png,0,1,5073,0,0,0,0,,0
508,5080,5081,5082,sprite/common/item/icon/coin/item_jiajubi.png,sprite/common/common/icon/coin/coin_jiajubi.png,0,1,5083,0,0,0,0,433|0,3
509,5090,5091,5092,sprite/common/item/icon/coin/item_daibi.png,sprite/common/common/icon/coin/coin_daibi.png,0,1,5093,0,0,0,0,441|0,3
510,5100,5101,5102,sprite/common/item/icon/coin/item_chouka3.png,sprite/common/common/icon/coin/coin_chouka3.png,0,1,5103,0,0,0,0,403|0,3
511,5110,5111,5112,sprite/common/item/icon/coin/item_chouka5.png,sprite/common/common/icon/coin/coin_chouka5.png,0,1,5113,0,0,0,0,403|0,3
513,5130,5131,5132,sprite/common/item/icon/coin/item_512.png,sprite/common/common/icon/coin/coin_jinbi.png,0,16,5133,0,0,100,502,408|0,3
514,5140,5141,5142,sprite/common/item/icon/coin/item_513.png,sprite/common/common/icon/coin/coin_jinbi.png,0,16,5143,0,0,2,513,408|0,3
515,5150,5151,5152,sprite/common/item/icon/coin/item_515.png,sprite/common/common/icon/coin/coin_jinbi.png,0,16,5153,0,0,2,514,408|0,3
516,5160,5161,5162,sprite/common/item/icon/coin/item_516.png,sprite/common/common/icon/coin/coin_jinbi.png,0,16,5163,0,0,2,515,408|0,3
517,5170,5171,5172,sprite/common/item/icon/coin/item_517.png,sprite/common/common/icon/coin/coin_jinbi.png,0,16,5173,0,0,2,516,408|0,3
518,5180,5181,5182,sprite/common/item/icon/coin/item_518.png,sprite/common/common/icon/coin/coin_jinbi.png,0,15,5183,0,0,0,0,403|0,3
519,5190,5191,5192,sprite/common/item/icon/coin/item_518.png,sprite/common/common/icon/coin/coin_jinbi.png,0,18,5193,0,0,0,0,403|0,3
520,5200,5201,5202,sprite/common/item/icon/coin/item_520.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5203,0,0,0,0,408|0,3
521,5210,5211,5212,sprite/common/item/icon/coin/item_521.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5213,0,0,0,0,406|0,3
522,5220,5221,5222,sprite/common/item/icon/coin/item_522.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5223,0,0,0,0,406|0,3
523,5230,5231,5232,sprite/common/item/icon/coin/item_523.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5233,0,0,0,0,406|0,3
524,5240,5241,5242,sprite/common/item/icon/coin/item_524.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5243,0,0,0,0,406|0,3
525,5250,5251,5252,sprite/common/item/icon/coin/item_zhongzhibi.png,sprite/common/common/icon/coin/coin_zhongzhibi.png,0,1,5253,0,0,0,0,422|0,3
526,5260,5261,5262,sprite/common/item/icon/coin/item_526.png,sprite/common/common/icon/coin/coin_jinbi.png,1,17,5263,0,0,0,0,406|0,3
527,5270,5271,5272,sprite/common/item/icon/coin/item_527.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5273,0,0,0,0,406|0,3
528,5280,5281,5282,sprite/common/item/icon/coin/item_528.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5283,0,0,0,0,406|0,3
529,5290,5291,5292,sprite/common/item/icon/coin/item_529.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5293,0,0,0,0,406|0,3
530,5300,5301,5302,sprite/common/item/icon/coin/item_530.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5303,0,0,0,0,406|0,3
531,5310,5311,5312,sprite/common/item/icon/coin/item_531.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5313,0,0,0,0,406|0,3
532,5320,5321,5322,sprite/common/item/icon/coin/item_532.png,sprite/common/common/icon/coin/coin_jinbi.png,0,1,5323,0,0,0,0,406|0,3
535,5350,5351,5352,sprite/common/item/icon/coin/item_letter.png,sprite/common/item/icon/coin/item_letter.png,0,1,5353,0,0,0,0,408|0,3
536,5360,5361,5362,sprite/common/item/icon/coin/item_chouka4.png,sprite/common/common/icon/coin/coin_chouka4.png,0,1,5363,0,0,0,0,408|0,3
537,5370,5371,5372,sprite/common/item/icon/coin/item_ticket3.png,sprite/common/common/icon/coin/coin_jiejing.png,0,1,5373,0,0,0,0,403|0,3
538,5380,5381,5382,sprite/common/item/icon/coin/item_ticket2.png,sprite/common/common/icon/coin/coin_jiejing.png,0,1,5383,0,0,0,0,403|0,3
539,5390,5391,5392,sprite/common/item/icon/coin/item_ticket1.png,sprite/common/common/icon/coin/coin_jiejing.png,0,1,5393,0,0,0,0,403|0,3
