id,不知道,不知道,不知道,不知道
1,501|150&540|10,540,501|200&100174|1,100174
2,525|60&518|60,0,525|120&518|120,0
3,601|1,0,601|1,0
4,603|1,0,603|1,0
5,510|2,510,510|2,510
6,525|60&518|60,0,525|120&518|120,0
7,532|2&608|1,0,532|2&608|2,0
8,516|1,0,516|1,0
9,603|1,0,603|1&604|1,0
10,510|2,510,510|2,510
11,525|60&518|60,0,525|120&518|120,0
12,532|3&608|2,0,532|3&608|2,0
13,516|1,0,516|2,0
14,603|1,0,603|1&510|1,510
15,510|2,510,100174|1,100174
16,525|60&518|60,0,525|120&518|120,0
17,532|2&608|2,0,532|2&608|2,0
18,603|2,0,603|1&604|1,0
19,601|2,0,601|1&602|1,0
20,510|2,510,510|2,510
21,525|60&518|60,0,525|120&518|120,0
22,532|3&608|2,0,532|3&608|3,0
23,524|30,0,524|60,0
24,603|2,0,603|1&510|1,510
25,510|2,510,510|2,510
26,525|60&518|60,0,525|120&518|120,0
27,532|2&608|2,0,532|3&608|3,0
28,601|2,0,601|1&602|1,0
29,603|2,0,603|1&604|1,0
30,100174|1,100174,100174|1,100174
31,525|60&518|60,0,525|120&518|120,0
32,532|3&608|3,0,532|5&608|3,0
33,524|30,0,524|60,0
34,603|2,0,603|1&510|1,0
35,511|2,511,511|3,511
36,525|60&518|60,0,525|120&518|120,0
37,532|3&608|3,0,532|5&608|3,0
38,601|2,0,601|2,0
39,603|2,0,603|1&510|1,0
40,511|2,511,511|3,511
