id,不知道,不知道,不知道,不知道,不知道,贴图,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,可种作物,不知道
11000,1,1,1,1,3,sprite/common/pot/pot/pot_0_3.png,prefabs/scene/xiangting/penzi/Pot_1,601,1,0,0,11001,7200,"[7000, 7001, 7002]",100,"[6000000, 6000050]"
11001,1,1,1,2,4,sprite/common/pot/pot/pot_0_4.png,,601,2,0,0,11002,14400,"[7000, 7001, 7002]",100,[]
11002,1,1,1,3,5,sprite/common/pot/pot/pot_0_5.png,,601,3,0,0,11003,28800,"[7000, 7001, 7002]",100,[]
11003,1,1,1,4,6,sprite/common/pot/pot/pot_0_6.png,,601,4,0,0,0,39600,"[7000, 7001, 7002]",100,[]
11004,1,2,3,1,3,sprite/common/pot/pot/pot_1_3.png,prefabs/scene/xiangting/penzi/Pot_2,601,1,0,0,11005,7200,"[7007, 7008, 7009]",200,"[6000046, 6000065]"
11005,1,2,3,2,4,sprite/common/pot/pot/pot_1_4.png,,601,10,602,5,11006,14400,"[7007, 7008, 7009]",200,[]
11006,1,2,3,3,5,sprite/common/pot/pot/pot_1_5.png,,601,15,602,7,11007,28800,"[7007, 7008, 7009]",200,[]
11007,1,2,3,4,6,sprite/common/pot/pot/pot_1_6.png,,601,25,602,8,0,39600,"[7007, 7008, 7009]",200,[]
11008,1,3,2,1,3,sprite/common/pot/pot/pot_2_3.png,prefabs/scene/xiangting/penzi/Pot_3,601,1,0,0,11009,7200,"[7014, 7015, 7016]",100,"[6000021, 6000060]"
11009,1,3,2,2,4,sprite/common/pot/pot/pot_2_4.png,,601,5,602,2,11010,14400,"[7014, 7015, 7016]",100,[]
11010,1,3,2,3,5,sprite/common/pot/pot/pot_2_5.png,,601,10,602,3,11011,28800,"[7014, 7015, 7016]",100,[]
11011,1,3,2,4,6,sprite/common/pot/pot/pot_2_6.png,,601,15,602,4,0,39600,"[7014, 7015, 7016]",100,[]
11012,1,4,4,1,3,sprite/common/pot/pot/pot_3_3.png,prefabs/scene/xiangting/penzi/Pot_4,601,1,0,0,11013,7200,"[7017, 7018, 7019]",200,"[6000082, 6000121]"
11013,1,4,4,2,4,sprite/common/pot/pot/pot_3_4.png,,601,15,602,8,11014,14400,"[7017, 7018, 7019]",200,[]
11014,1,4,4,3,5,sprite/common/pot/pot/pot_3_5.png,,601,25,602,10,11015,28800,"[7017, 7018, 7019]",200,[]
11015,1,4,4,4,6,sprite/common/pot/pot/pot_3_6.png,,601,35,602,12,0,39600,"[7017, 7018, 7019]",200,[]
11020,2,5,4,1,3,sprite/common/pot/vine/vine_0_3.png,prefabs/scene/xiangting/penzi/Pot_5,601,1,0,0,11021,7200,[7003],500,"[6000010, 6000055]"
11021,2,5,4,2,4,sprite/common/pot/vine/vine_0_4.png,,601,2,0,0,11022,14400,[7003],500,[]
11022,2,5,4,3,5,sprite/common/pot/vine/vine_0_5.png,,601,3,0,0,11023,28800,[7003],500,[]
11023,2,5,4,4,6,sprite/common/pot/vine/vine_0_6.png,,601,4,0,0,0,39600,[7003],500,[]
11024,2,6,1,1,3,sprite/common/pot/vine/vine_1_3.png,prefabs/scene/xiangting/penzi/Pot_6,601,1,0,0,11025,7200,[7010],500,"[6000039, 6000070]"
11025,2,6,1,2,4,sprite/common/pot/vine/vine_1_4.png,,601,10,602,10,11026,14400,[7010],500,[]
11026,2,6,1,3,5,sprite/common/pot/vine/vine_1_5.png,,601,20,602,18,11027,28800,[7010],500,[]
11027,2,6,1,4,6,sprite/common/pot/vine/vine_1_6.png,,601,35,602,25,0,39600,[7010],500,[]
11028,2,7,3,1,3,sprite/common/pot/vine/vine_2_3.png,prefabs/scene/xiangting/penzi/Pot_7,601,1,0,0,11029,7200,[7020],500,"[6000054, 6000090]"
11029,2,7,3,2,4,sprite/common/pot/vine/vine_2_4.png,,601,20,602,10,11030,14400,[7020],500,[]
11030,2,7,3,3,5,sprite/common/pot/vine/vine_2_5.png,,601,40,602,18,11031,28800,[7020],500,[]
11031,2,7,3,4,6,sprite/common/pot/vine/vine_2_6.png,,601,60,602,25,0,39600,[7020],500,[]
11035,3,8,2,1,3,sprite/common/pot/wood/wood_0_3.png,prefabs/scene/xiangting/penzi/Pot_8,601,1,0,0,11036,7200,"[7004, 7005, 7006]",2000,"[6000030, 6000064]"
11036,3,8,2,2,4,sprite/common/pot/wood/wood_0_4.png,,601,5,602,2,11037,14400,"[7004, 7005, 7006]",2000,[]
11037,3,8,2,3,5,sprite/common/pot/wood/wood_0_5.png,,601,10,602,3,11038,28800,"[7004, 7005, 7006]",2000,[]
11038,3,8,2,4,6,sprite/common/pot/wood/wood_0_6.png,,601,15,602,4,0,39600,"[7004, 7005, 7006]",2000,[]
11039,3,9,4,1,3,sprite/common/pot/wood/wood_1_3.png,prefabs/scene/xiangting/penzi/Pot_9,601,1,0,0,11040,7200,"[7013, 7011, 7012]",2000,"[6000046, 6000073]"
11040,3,9,4,2,4,sprite/common/pot/wood/wood_1_4.png,,601,15,602,8,11041,14400,"[7013, 7011, 7012]",2000,[]
11041,3,9,4,3,5,sprite/common/pot/wood/wood_1_5.png,,601,30,602,10,11042,28800,"[7013, 7011, 7012]",2000,[]
11042,3,9,4,4,6,sprite/common/pot/wood/wood_1_6.png,,601,45,602,12,0,39600,"[7013, 7011, 7012]",2000,[]
11043,3,10,4,1,3,sprite/common/pot/wood/wood_2_3.png,prefabs/scene/xiangting/penzi/Pot_10,601,1,0,0,11044,7200,"[7021, 7022, 7023]",2000,"[6000080, 6000113]"
11044,3,10,4,2,4,sprite/common/pot/wood/wood_2_4.png,,601,25,602,10,11045,14400,"[7021, 7022, 7023]",2000,[]
11045,3,10,4,3,5,sprite/common/pot/wood/wood_2_5.png,,601,50,602,18,11046,28800,"[7021, 7022, 7023]",2000,[]
