id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
90001,5,10,10,15,2|2|3|4|6,5,2,10,5,6,4,50,80
90002,5,11,10,15,2|2|3|4|6,5,2,11,5,6,4,50,80
90003,5,12,10,15,2|2|3|4|6,6,2,12,5,6,4,50,80
90004,5,15,10,15,2|2|3|4|6,7,3,15,5,6,4,50,80
90011,3,20,10,20,2|3|5|6|10,10,4,20,5,6,4,50,80
90012,3,22,10,20,2|3|5|6|10,11,4,22,5,6,4,50,80
90013,3,24,10,20,2|3|5|6|10,12,4,24,5,6,4,50,80
90014,3,30,10,20,2|3|5|6|10,15,6,30,5,6,4,50,80
90021,2,270,100,155,84|112|167|223|335,135,54,270,15,18,12,35,114
90022,2,297,100,155,84|112|167|223|335,148,59,297,15,18,12,35,114
90023,2,324,100,155,84|112|167|223|335,162,64,324,15,18,12,35,114
90024,2,405,100,155,84|112|167|223|335,202,81,405,15,18,12,35,114
90031,2,350,130,198,155|207|311|414|622,175,70,350,15,18,12,35,114
90032,2,385,130,198,155|207|311|414|622,192,77,385,15,18,12,35,114
90033,2,420,130,198,155|207|311|414|622,210,84,420,15,18,12,35,114
90034,2,525,130,198,155|207|311|414|622,262,105,525,15,18,12,35,114
90041,4,30,10,28,4|5|8|10|15,15,6,30,5,6,4,50,80
90042,4,33,10,28,4|5|8|10|15,16,6,33,5,6,4,50,80
90043,4,36,10,28,4|5|8|10|15,18,7,36,5,6,4,50,80
90044,4,45,10,28,4|5|8|10|15,22,9,45,5,6,4,50,80
90051,2,120,60,99,42|57|85|113|170,60,24,120,10,12,8,40,100
90052,2,132,60,99,42|57|85|113|170,66,26,132,10,12,8,40,100
90053,2,144,60,99,42|57|85|113|170,72,28,144,10,12,8,40,100
90054,2,180,60,99,42|57|85|113|170,90,36,180,10,12,8,40,100
90061,2,130,60,92,39|52|78|104|156,65,26,130,10,12,8,40,100
90062,2,143,60,92,39|52|78|104|156,71,28,143,10,12,8,40,100
90063,2,156,60,92,39|52|78|104|156,78,31,156,10,12,8,40,100
90064,2,195,60,92,39|52|78|104|156,97,39,195,10,12,8,40,100
90071,2,120,60,97,38|50|75|100|150,60,24,120,10,12,8,40,100
90072,2,132,60,97,38|50|75|100|150,66,26,132,10,12,8,40,100
90073,2,144,60,97,38|50|75|100|150,72,28,144,10,12,8,40,100
90074,2,180,60,97,38|50|75|100|150,90,36,180,10,12,8,40,100
90081,2,780,260,390,464|619|928|1237|1856,390,156,780,20,24,16,30,133
90082,2,858,260,390,464|619|928|1237|1856,429,171,858,20,24,16,30,133
90083,2,936,260,390,464|619|928|1237|1856,468,187,936,20,24,16,30,133
90084,2,1170,260,390,464|619|928|1237|1856,585,234,1170,20,24,16,30,133
90091,2,110,50,75,22|30|45|60|90,55,22,110,10,12,8,40,100
90092,2,121,50,75,22|30|45|60|90,60,24,121,10,12,8,40,100
