id,人物[npc],产物[product],不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,7000003,90004,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
2,7000003,90014,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
3,7000003,90024,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
4,7000003,90034,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
5,7000003,90044,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
6,7000003,90054,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
7,7000003,90064,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
8,7000003,90074,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
9,7000003,90084,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
10,7000003,90094,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
11,7000003,90104,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
12,7000003,90114,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
13,7000003,90124,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
14,7000003,90134,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
15,7000003,90144,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
16,7000003,90154,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
17,7000003,90164,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
18,7000003,90174,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
19,7000003,90184,1,10004,50,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,5,999999
20,7000003,90194,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
21,7000003,90204,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
22,7000003,90214,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
23,7000003,90224,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
24,7000003,90234,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
25,7000003,90244,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
26,7000003,90254,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
27,7000003,90264,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
28,7000003,90274,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
29,7000003,90284,1,10004,50,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,5,999999
30,7000003,90294,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
31,7000003,90304,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
32,7000003,90314,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
33,7000003,90324,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
34,7000003,90334,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
35,7000003,90344,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
36,7000003,90354,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
37,7000003,90364,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
38,7000003,90374,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
39,7000003,90384,2,10000,10,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,1,999999
40,7000003,90394,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
41,7000003,90404,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
42,7000003,90414,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
43,7000003,90424,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
44,7000003,90434,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
45,7000003,90444,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
46,7000003,90454,1,10004,50,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,5,999999
47,7000003,90464,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
48,7000003,90474,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
49,7000003,90484,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
50,7000003,90494,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
51,7000003,90504,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
52,7000003,90514,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
53,7000003,90524,2,10001,20,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,2,999999
54,7000003,90534,1,10003,40,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,4,999999
55,7000003,90544,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
56,7000003,90554,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
57,7000003,90564,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
58,7000003,90574,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
59,7000003,90584,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
60,7000003,90594,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
61,7000003,90604,2,10002,30,DDLL11|DDLL12|DDLL13,DDLL1|DDLL1|DDLL1,3,999999
