id,不知道,不知道,不知道,不知道,不知道,不知道
1,collect,10,,,,
2,plant,20,,,,
3,alchemy,30,,,,
4,luck,40,,,,
5,harvest,50,buff_011,buff_012,,406|407|409|422|440
6,attribute,60,buff_005,buff_006,,406|407|409|421|440
7,timereduce,70,buff_003,buff_004,,406|407|440
8,costreduce,80,buff_007,buff_008,,405|406|407|408|409|421|431
9,effortgain,90,buff_005,buff_006,,406|407|409|422|440
10,effortspeed,100,,,,
11,elementgain,110,buff_009,buff_010,,406|407|409|421|440
12,extraharvest,120,buff_011,buff_012,,406|407|409
13,sellgain,130,buff_011,buff_012,,422
14,FormulaProficiency,140,,,,
15,itemModify,150,buff_011,buff_012,,406|407|409|422|440
16,tinyGameTimes,160,,,,
17,gatherArea,170,buff_011,buff_012,,406
18,gatherNumLte,180,buff_011,buff_012,buff_002,406
19,gatherNumGte,190,buff_011,buff_012,buff_002,406
20,gatherPropEqLte,200,buff_011,buff_012,buff_002,406
21,gatherPropEqGte,210,buff_011,buff_012,buff_002,406
22,gatherPropDiLte,220,buff_011,buff_012,buff_002,406
23,gatherPropDiGte,230,buff_011,buff_012,buff_002,406
