id,不知道,不知道,不知道,不知道
9000,1,[501],[10],[]
9001,1,[501],[40],[]
9002,1,[501],[20],[]
9003,1,[501],[10],[]
9004,1,[501],[20],[]
9005,1,[501],[10],[]
9006,1,[501],[30],[]
9007,1,[501],[30],[]
9008,1,[501],[50],[]
9009,1,[501],[50],[]
9010,1,[501],[10],[]
9011,1,[501],[10],[]
9012,1,[501],[20],[]
9013,1,[501],[50],[]
9014,1,[501],[10],[]
9015,1,[501],[10],[]
9016,1,[501],[20],[]
9017,1,[501],[30],[]
9018,1,[501],[20],[]
9019,1,[501],[20],[]
9020,1,[501],[20],[]
9021,1,[501],[40],[]
9022,1,[501],[10],[]
9023,1,[501],[20],[]
9024,1,[501],[20],[]
9025,1,[501],[20],[]
9026,1,[501],[10],[]
9027,1,[501],[10],[]
9028,1,[501],[20],[]
9029,1,[501],[10],[]
9030,1,[501],[20],[]
9031,1,[501],[30],[]
9032,1,[501],[40],[]
9033,1,[501],[30],[]
9034,1,[501],[30],[]
9035,1,[501],[10],[]
9036,1,[501],[20],[]
9037,1,[501],[40],[]
9038,1,[501],[10],[]
9039,1,[501],[30],[]
9040,1,[501],[50],[]
9041,1,[501],[50],[]
9042,1,[501],[50],[]
9043,1,[501],[10],[]
9044,1,[501],[30],[]
9045,1,[501],[20],[]
9046,1,[501],[30],[]
9047,1,[501],[30],[]
9048,1,[501],[40],[]
9049,1,[501],[50],[]
9050,1,[501],[40],[]
9051,1,[501],[40],[]
9052,1,[501],[50],[]
9053,1,[501],[30],[]
9054,1,[501],[10],[]
9055,1,[501],[20],[]
9056,1,[501],[30],[]
9057,1,[501],[30],[]
9058,1,[501],[10],[]
9059,1,[501],[20],[]
9060,1,[501],[30],[]
9061,1,[501],[30],[]
9062,1,[501],[50],[]
9063,1,[501],[20],[]
9064,1,[501],[40],[]
9065,1,[501],[30],[]
9066,1,[501],[50],[]
9067,1,[501],[40],[]
9068,1,[501],[50],[]
9069,1,[501],[30],[]
9070,1,[501],[30],[]
9071,1,[501],[40],[]
9072,1,[501],[30],[]
9073,1,[501],[40],[]
9074,1,[501],[50],[]
9075,1,[501],[40],[]
9076,1,[501],[40],[]
9077,1,[501],[40],[]
9078,1,[501],[40],[]
9079,1,[501],[40],[]
9080,1,[501],[50],[]
9081,1,[501],[40],[]
9082,1,[501],[40],[]
9083,1,[501],[20],[]
9084,1,[501],[50],[]
9085,1,[501],[50],[]
9086,1,[501],[50],[]
9087,1,[501],[50],[]
9088,1,[501],[20],[]
9089,1,[501],[40],[]
9090,1,[501],[50],[]
9091,1,[501],[30],[]
9092,1,[501],[40],[]
9093,1,[501],[50],[]
9094,1,[501],[50],[]
9095,1,[501],[10],[]
9096,1,[501],[10],[]
9097,1,[501],[10],[]
9098,1,[501],[20],[]
9099,1,[501],[10],[]
9100,1,[501],[50],[]
1000000,1,[5000],[1],[]
1000001,1,[5001],[1],[]
1000002,1,[5002],[1],[]
1000003,1,[99001],[1],[]
1000004,1,[5007],[1],[]
1000005,1,[5008],[1],[]
1000006,1,[5009],[1],[]
1000007,1,[99011],[1],[]
1000008,1,[5004],[1],[]
1000009,1,[5005],[1],[]
1000010,1,[5006],[1],[]
1000011,1,[5007],[1],[]
1000012,1,[5008],[1],[]
1000013,1,[5009],[1],[]
1000014,1,[5010],[1],[]
1000015,1,[5011],[1],[]
1000016,1,[5012],[1],[]
1000017,1,[1018],[1],[]
1000018,1,"[5010, 5003]","[1, 1]",[]
1000019,1,"[5011, 5004]","[1, 1]",[]
1000020,1,[1001],[1],[]
1000021,1,"[1002, 1003]","[1, 1]",[]
1000022,1,[1003],[1],[]
1000023,1,"[1010, 1003]","[1, 1]",[]
1000024,1,"[1003, 1005]","[1, 1]",[]
1000025,1,"[1023, 1013]","[1, 1]",[]
1000026,1,[5005],[1],[]
1000027,1,[5005],[1],[]
1000028,1,"[5012, 1003]","[1, 1]",[]
1000029,1,"[5013, 1023]","[1, 1]",[]
1000030,1,"[1002, 1005]","[1, 1]",[]
1000031,1,"[5007, 1003]","[1, 1]",[]
1000032,1,[1012],[1],[]
1000033,1,[1000],[1],[]
1000034,1,"[1014, 1015]","[1, 1]",[]
1000035,1,[1017],[1],[]
1000036,1,[5006],[1],[]
1000037,1,[5013],[1],[]
1000038,1,"[5018, 1014]","[1, 1]",[]
1000039,1,"[5019, 1015]","[1, 1]",[]
1000040,1,"[1006, 1002]","[1, 1]",[]
1000041,1,"[1003, 1004]","[1, 1]",[]
1000042,1,[1017],[1],[]
1000043,1,"[1015, 1008]","[1, 1]",[]
1000044,1,"[1000, 1004]","[1, 1]",[]
1000045,1,"[1023, 1007]","[1, 1]",[]
1000046,1,[5007],[1],[]
1000047,1,[5015],[1],[]
1000048,1,"[5019, 1004]","[1, 1]",[]
1000049,1,"[5020, 1007]","[1, 1]",[]
1000050,1,"[1008, 1004]","[1, 1]",[]
1000051,1,[1004],[1],[]
1000052,1,"[1020, 1004]","[1, 1]",[]
1000053,1,[1000],[1],[]
1000054,1,"[1024, 1022]","[1, 1]",[]
1000055,1,[1012],[1],[]
1000056,1,"[1027, 1026]","[1, 1]",[]
1000057,1,"[5008, 1024]","[1, 1]",[]
1000058,1,"[5015, 1012]","[1, 1]",[]
1000059,1,"[5020, 1027]","[1, 1]",[]
1000060,1,"[1009, 1005]","[1, 1]",[]
1000061,1,"[1014, 1011]","[1, 1]",[]
1000062,1,"[1002, 1015]","[1, 1]",[]
1000063,1,"[1021, 1018]","[1, 1]",[]
1000064,1,"[1016, 1021]","[1, 1]",[]
1000065,1,[1013],[1],[]
1000066,1,"[1025, 1021]","[1, 1]",[]
1000067,1,"[5009, 1016]","[1, 1]",[]
1000068,1,"[5016, 1013]","[1, 1]",[]
1000069,1,"[5021, 1025]","[1, 1]",[]
1001000,1,"[501, 519, 1000]","[200, 2, 13]",[]
1001001,1,"[501, 520]","[900, 1]",[]
1001002,1,[501],[10000],[]
1001003,1,"[100008, 510]","[1, 10]",[]
1001004,1,"[5002, 1000]","[1, 2]",[]
1001005,1,"[5002, 1001]","[1, 2]",[]
1001006,1,"[5010, 1000]","[1, 2]",[]
1001007,1,"[5011, 1010]","[1, 2]",[]
1001008,1,"[5012, 1011]","[1, 2]",[]
1001009,1,"[5017, 1000]","[1, 2]",[]
1001010,1,"[5003, 1003]","[1, 2]",[]
1001011,1,"[5004, 1004, 1003]","[1, 2, 2]",[]
1001012,1,"[5010, 1005, 1012]","[1, 2, 2]",[]
1001013,1,"[5011, 1004, 1002]","[1, 2, 2]",[]
1001014,1,"[5017, 1003]","[1, 2]",[]
