id,不知道,不知道,不知道,不知道,不知道,不知道
0,100,,0,0,,
1,600,,0,99,com.nuoflwy.99,com.twmobile.ljsn.99
2,3000,,0,499,com.nuoflwy.499,com.twmobile.ljsn.499
3,6800,,0,999,com.nuoflwy.999,com.twmobile.ljsn.999
4,12800,,0,1999,com.nuoflwy.1999,com.twmobile.ljsn.1999
5,32800,,0,4999,com.nuoflwy.4999,com.twmobile.ljsn.4999
6,64800,,0,9999,com.nuoflwy.9999,com.twmobile.ljsn.9999
7,600,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
8,1200,,0,199,com.nuoflwy.dd.199,com.twmobile.ljsn.dd.199
9,1800,,0,299,com.nuoflwy.dd.299,com.twmobile.ljsn.dd.299
10,3000,,0,499,com.nuoflwy.dd.499,com.twmobile.ljsn.dd.499
11,6800,,0,999,com.nuoflwy.dd.999,com.twmobile.ljsn.dd.999
12,9800,,0,1499,com.nuoflwy.dd.1499,com.twmobile.ljsn.dd.1499
13,12800,,0,1999,com.nuoflwy.dd.1999,com.twmobile.ljsn.dd.1999
14,32800,,0,4999,com.nuoflwy.dd.4999,com.twmobile.ljsn.dd.4999
15,64800,,0,9999,com.nuoflwy.dd.9999,com.twmobile.ljsn.dd.9999
16,5000,,0,799,com.nuoflwy.ddd.799,com.twmobile.ljsn.ddd.799
17,3000,,0,499,com.nuoflwy.ddd.499,com.twmobile.ljsn.ddd.499
18,6800,,0,999,com.nuoflwy.ddd.999,com.twmobile.ljsn.ddd.999
19,1800,,0,299,com.nuoflwy.dddd.299,com.twmobile.ljsn.dddd.299
20,3000,,0,499,com.nuoflwy.dddd.499,com.twmobile.ljsn.dddd.499
21,6800,,0,999,com.nuoflwy.ddddd.999,com.twmobile.ljsn.ddddd.999
22,9800,,0,1499,com.nuoflwy.dddd.1499,com.twmobile.ljsn.dddd.1499
23,19800,,0,0,,
24,3000,,0,499,com.nuoflwy.dd.499,com.twmobile.ljsn.dd.499
25,9800,,0,1499,com.nuoflwy.dd.1499,com.twmobile.ljsn.dd.1499
26,32800,,0,4999,com.nuoflwy.dd.4999,com.twmobile.ljsn.dd.4999
27,32800,,0,4999,com.nuoflwy.dd.4999,com.twmobile.ljsn.dd.4999
28,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
29,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
30,600,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
31,600,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
32,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
33,600,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
34,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
35,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
36,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
37,100,,0,99,com.nuoflwy.dd.99,com.twmobile.ljsn.dd.99
38,1800,,0,299,com.nuoflwy.dd.299,com.twmobile.ljsn.dd.299
39,19800,,0,0,,
40,12800,,0,0,,
41,5000,,0,0,,
42,19800,,0,0,,
43,32800,,0,0,,
44,9800,,0,0,,
45,12800,,0,0,,
46,12800,,0,0,,
47,1800,,0,0,,
48,19800,,0,0,,
49,12800,,0,0,,
50,1800,,0,0,com.nuoflwy.ddd.299,com.twmobile.ljsn.ddd.299
