id,不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,460004,1,126,2,0,1512000,405|0
2,460004,1,126,5,0,1512001,405|0
3,460004,1,126,8,0,1512002,405|0
4,460005,2,131,5,0,1512003,419|0
5,460005,2,131,10,0,1512004,419|0
6,460005,2,131,20,0,1512005,419|0
7,460006,3,143,3,0,1512006,412|0
8,460006,3,143,6,0,1512007,412|0
9,460006,3,143,9,0,1512008,412|0
10,460007,4,110,5,0,1512009,406|
11,460007,4,110,10,0,1512010,406|
12,460007,4,110,20,0,1512011,406|
13,460007,4,110,30,0,1512012,406|
14,460007,4,110,50,0,1512013,406|
15,460008,5,115,60,0,1512014,407|0
16,460008,5,115,120,0,1512015,407|0
17,460008,5,115,180,0,1512016,407|0
18,460008,5,115,240,0,1512017,407|0
19,460008,5,115,400,0,1512018,407|0
20,460009,6,116,100,0,1512019,409|0
21,460009,6,116,200,0,1512020,409|0
22,460009,6,116,300,0,1512021,409|0
23,460009,6,116,400,0,1512022,409|0
24,460009,6,116,600,0,1512023,409|0
25,460010,7,119,10,0,1512024,408|
26,460010,7,119,20,0,1512025,408|
27,460010,7,119,30,0,1512026,408|
28,460010,7,119,40,0,1512027,408|
29,460010,7,119,70,0,1512028,408|
30,460011,8,151,20,0,1512029,410|0
31,460011,8,151,40,0,1512030,410|0
32,460011,8,151,60,0,1512031,410|0
33,460011,8,151,80,0,1512032,410|0
34,460011,8,151,120,0,1512033,410|0
35,460012,9,162,2,0,1512034,422|0
36,460012,9,162,5,0,1512035,422|0
37,460012,9,162,7,0,1512036,422|0
38,460012,9,162,10,0,1512037,422|0
39,460012,9,162,15,0,1512038,422|0
