id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,1,1000,1,0,1,500,8,2,5,10000|8000&9000|2000,3,1
2,1,5000,1,0,1,500,10,2,5,10000|8000&9000|2000,3,1
3,1,1000,1,0,1,500,8,3,6,10000|8000&9000|2000,3,1
4,1,5000,1,0,1,500,10,3,6,10000|8000&9000|2000,3,1
5,1,1000,1,0,1,500,8,4,7,10000|8000&9000|2000,3,1
6,1,5000,1,0,1,500,10,4,7,10000|8000&9000|2000,3,1
7,1,1000,1,0,1,500,8,5,10,9000|8000&8000|2000,3,1
8,1,5000,1,0,1,500,10,5,10,9000|8000&8000|2000,3,1
9,1,1000,1,0,1,500,8,6,11,9000|8000&8000|2000,3,1
10,1,5000,1,0,1,500,10,6,11,9000|8000&8000|2000,3,1
11,1,1000,1,0,1,500,8,7,12,9000|8000&8000|2000,3,1
12,1,5000,1,0,1,500,10,7,12,9000|8000&8000|2000,3,1
13,1,1001,1,0,2,500,8,2,5,10000|8000&9000|2000,3,1
14,1,5001,1,0,2,500,63,2,5,10000|8000&9000|2000,3,1
15,1,5014,1,0,2,500,48,2,5,10000|8000&9000|2000,3,1
16,1,1002,1,0,2,500,8,2,5,10000|8000&9000|2000,3,1
17,1,1003,1,0,2,500,8,2,5,10000|8000&9000|2000,3,1
18,1,1006,1,0,2,500,15,2,5,10000|8000&9000|2000,3,1
19,1,1001,1,0,2,500,8,5,10,10000|8000&9000|2000,3,1
20,1,5001,1,0,2,500,63,5,10,10000|8000&9000|2000,3,1
21,1,5014,1,0,2,500,48,5,10,10000|8000&9000|2000,3,1
22,1,1002,1,0,2,500,8,5,10,10000|8000&9000|2000,3,1
23,1,1003,1,0,2,500,8,5,10,10000|8000&9000|2000,3,1
24,1,1006,1,0,2,500,15,5,10,10000|8000&9000|2000,3,1
25,1,1002,1,0,3,500,8,2,5,10000|8000&9000|2000,3,1
26,1,1003,1,0,3,500,8,2,5,10000|8000&9000|2000,3,1
27,1,1006,1,0,3,500,15,2,5,10000|8000&9000|2000,3,1
28,1,1028,1,0,3,500,15,2,5,10000|8000&9000|2000,3,1
29,1,5007,1,0,3,500,45,2,5,10000|8000&9000|2000,3,1
30,1,5002,1,0,3,500,507,2,5,10000|8000&9000|2000,3,1
31,1,1002,1,0,3,500,8,5,10,10000|8000&9000|2000,3,1
32,1,1003,1,0,3,500,8,5,10,10000|8000&9000|2000,3,1
33,1,1006,1,0,3,500,15,5,10,10000|8000&9000|2000,3,1
34,1,1028,1,0,3,500,15,5,10,10000|8000&9000|2000,3,1
35,1,5007,1,0,3,500,45,5,10,10000|8000&9000|2000,3,1
36,1,5002,1,0,3,500,507,5,10,10000|8000&9000|2000,3,1
37,1,1009,1,0,4,500,39,5,10,10000|8000&9000|2000,3,1
38,1,1007,1,0,4,500,15,5,10,10000|8000&9000|2000,3,1
39,1,1004,1,0,4,500,18,5,10,10000|8000&9000|2000,3,1
40,1,1005,1,0,4,500,15,5,10,10000|8000&9000|2000,3,1
41,1,5017,1,0,4,500,135,2,5,10000|8000&9000|2000,3,1
42,1,1008,1,0,4,500,53,2,5,10000|8000&9000|2000,3,1
43,1,1009,1,0,4,500,39,2,5,10000|8000&9000|2000,3,1
44,1,1007,1,0,4,500,15,2,5,10000|8000&9000|2000,3,1
45,1,1004,1,0,4,500,18,2,5,10000|8000&9000|2000,3,1
46,1,1005,1,0,4,500,15,2,5,10000|8000&9000|2000,3,1
47,1,5017,1,0,4,500,135,2,5,10000|8000&9000|2000,3,1
48,1,1008,1,0,4,500,53,2,5,10000|8000&9000|2000,3,1
49,1,1005,1,0,5,500,15,2,5,10000|8000&9000|2000,3,1
50,1,5017,1,0,5,500,135,2,5,10000|8000&9000|2000,3,1
51,1,1008,1,0,5,500,53,5,10,10000|8000&9000|2000,3,1
52,1,1025,1,0,5,500,23,5,10,10000|8000&9000|2000,3,1
53,1,5008,1,0,5,500,642,5,10,10000|8000&9000|2000,3,1
54,1,5018,1,0,5,500,507,5,10,10000|8000&9000|2000,3,1
55,1,1005,1,0,5,500,15,5,10,10000|8000&9000|2000,3,1
56,1,5017,1,0,5,500,135,5,10,10000|8000&9000|2000,3,1
57,1,1008,1,0,5,500,53,5,10,10000|8000&9000|2000,3,1
58,1,1025,1,0,5,500,23,5,10,10000|8000&9000|2000,3,1
59,1,5008,1,0,5,500,642,5,10,10000|8000&9000|2000,3,1
60,1,5018,1,0,5,500,507,5,10,10000|8000&9000|2000,3,1
61,2,510,1,1,0,501,70,1,1,,0,0
62,2,511,1,1,0,501,70,1,1,,0,0
63,2,513,1,1,0,501,10,1,1,,0,0
64,2,514,1,1,0,501,20,1,1,,0,0
65,2,515,1,1,0,501,40,1,1,,0,0
66,2,516,1,1,0,501,100,1,1,,0,0
67,2,517,1,1,0,501,300,1,1,,0,0
68,2,510,1,0,0,501,70,1,1,9000|8000&8000|2000,3,1
69,2,513,1,0,0,501,10,1,1,9000|8000&8000|2000,3,1
70,2,514,1,0,0,501,20,1,1,9000|8000&8000|2000,3,1
71,2,515,1,0,0,501,40,1,1,9000|8000&8000|2000,3,1
72,2,516,1,0,0,501,100,1,1,9000|8000&8000|2000,3,1
73,2,517,1,0,0,501,300,1,1,9000|8000&8000|2000,3,1
74,2,20000,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
75,2,20003,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
76,2,20006,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
77,2,20009,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
78,2,20012,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
79,2,20015,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
80,2,20018,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
81,2,20021,1,0,0,501,5,1,1,9000|8000&8000|2000,3,1
82,2,518,10,1,0,501,5,1,1,,0,0
83,2,601,1,1,0,501,50,1,1,,0,0
84,2,602,1,1,0,501,200,1,1,,0,0
85,2,603,1,1,0,501,50,1,1,,0,0
86,2,604,1,1,0,501,200,1,1,,0,0
87,2,525,10,1,0,501,5,1,1,,0,0
88,2,608,1,1,0,501,20,1,1,,0,0
89,2,537,1,1,0,501,50,1,1,,0,0
90,2,538,1,1,0,501,50,1,1,,0,0
91,2,539,1,1,0,501,50,1,1,,0,0
92,3,510,1,0,0,501,70,1,1,9000|8000&8000|2000,1,3
93,3,513,1,0,0,501,10,1,1,9000|8000&8000|2000,1,10
94,3,514,1,0,0,501,20,1,1,9000|8000&8000|2000,1,10
95,3,515,1,0,0,501,40,1,1,9000|8000&8000|2000,1,5
96,3,518,10,0,0,501,5,1,1,8000|10000,1,50
97,3,521,1,0,0,500,1000,1,1,9000|8000&8000|2000,1,50
98,3,522,1,0,0,500,1000,1,1,9000|8000&8000|2000,1,50
99,3,523,1,0,0,500,1000,1,1,9000|8000&8000|2000,1,50
100,3,524,1,0,0,500,1000,1,1,9000|8000&8000|2000,1,50
101,3,601,1,0,0,501,50,1,1,9000|8000&8000|2000,1,10
102,3,602,1,0,0,501,200,1,1,9000|8000&8000|2000,1,5
103,3,603,1,0,0,501,50,1,1,9000|8000&8000|2000,1,10
104,3,604,1,0,0,501,200,1,1,9000|8000&8000|2000,1,5
105,5,12033,1,1,0,508,5000,1,1,,2,1
106,5,12034,1,1,0,508,5000,1,1,,2,1
107,5,12035,1,1,0,508,5000,1,1,,2,1
108,5,12036,1,1,0,508,5000,1,1,,2,1
109,5,12037,1,1,0,508,5000,1,1,,2,1
110,5,12038,1,1,0,508,5000,1,1,,2,1
111,5,12039,1,1,0,508,5000,1,1,,2,1
112,5,12040,1,1,0,508,5000,1,1,,2,1
113,5,12041,1,1,0,508,5000,1,1,,2,1
114,5,12042,1,1,0,508,5000,1,1,,2,1
115,5,12043,1,1,0,508,5000,1,1,,2,1
116,5,12088,1,1,0,508,8000,1,1,,2,1
117,5,12089,1,1,0,508,8000,1,1,,2,1
118,5,12090,1,1,0,508,8000,1,1,,2,1
119,5,12091,1,1,0,508,8000,1,1,,2,1
120,5,12092,1,1,0,508,8000,1,1,,2,1
121,5,12093,1,1,0,508,8000,1,1,,2,1
122,5,12094,1,1,0,508,8000,1,1,,2,1
123,5,12095,1,1,0,508,8000,1,1,,2,1
124,5,12096,1,1,0,508,8000,1,1,,2,1
125,5,12097,1,1,0,508,8000,1,1,,2,1
126,5,12098,1,1,0,508,8000,1,1,,2,1
127,6,20002,1,1,0,509,500,1,1,,0,0
128,6,20005,1,1,0,509,500,1,1,,0,0
129,6,20008,1,1,0,509,500,1,1,,0,0
130,6,20011,1,1,0,509,500,1,1,,0,0
131,6,20014,1,1,0,509,500,1,1,,0,0
132,6,20017,1,1,0,509,500,1,1,,0,0
133,6,514,1,1,0,509,200,1,1,,0,0
134,6,515,1,1,0,509,500,1,1,,0,0
135,6,516,1,1,0,509,1000,1,1,,1,1
136,6,517,1,1,0,509,3000,1,1,,1,1
137,7,513,1,1,0,502,1000,1,1,,1,20
138,7,514,1,1,0,502,2000,1,1,,1,10
139,7,515,1,1,0,502,5000,1,1,,1,2
140,7,516,1,1,0,502,10000,1,1,,1,1
141,7,601,1,1,0,535,25,1,1,,1,5
142,7,521,1,1,0,535,5,1,1,,1,99
143,7,522,1,1,0,535,5,1,1,,1,99
144,7,523,1,1,0,535,5,1,1,,1,99
145,7,524,1,1,0,535,5,1,1,,1,99
146,7,513,1,1,0,535,10,1,1,,1,20
