id,不知道
9000000,0
9000001,0
9000002,0
9000003,0
9000004,0
9000005,0
9000006,0
9000007,0
9000008,0
9000009,0
9000010,0
9000011,0
9000012,0
9000013,0
9000014,0
9000015,0
9000016,0
9000017,0
9000018,0
9000019,0
9000020,0
9000021,0
9000022,0
9000023,0
9000024,0
9000025,0
9000026,0
9000027,0
9000028,0
9000029,0
9000030,0
9000031,0
9000032,0
9000033,0
9000034,0
9000035,0
9000036,0
9000037,0
9000038,0
9000039,0
9000040,0
9000041,0
9000042,0
9000043,0
9000044,0
9000045,0
9000046,0
9000047,0
9000048,0
9000049,0
9000050,0
9000051,0
9000052,0
9000053,0
9000054,0
9000055,0
9000056,0
9000057,0
9000058,0
9000059,0
9000060,0
9000061,0
9000062,0
9000063,0
9000064,0
9000065,0
9000066,0
9000067,0
9000068,0
9000069,0
9000070,0
9000071,0
9000072,0
9000073,0
9000074,0
9000075,0
9000076,0
9000077,0
9000078,0
9000079,0
9000080,0
9000081,0
9000082,0
9000083,0
9000084,0
9000085,0
9000086,0
9000087,0
9000088,0
9000089,0
9000090,0
9000091,0
9000092,0
9000093,0
9000094,0
9000095,0
9000096,0
9000097,0
9000098,0
9000099,0
9000100,0
9000101,0
9000102,0
9000103,0
9000104,0
9000105,0
9000106,0
9000107,0
9000108,0
9000109,0
9000110,0
9000111,0
9000112,0
9000113,0
9000114,0
9000115,0
9000116,0
9000117,0
9000118,0
9000119,0
9000120,0
9000121,0
9000122,0
9000123,0
9000124,0
9000125,0
9000126,0
9000127,0
9000128,0
9000129,0
9000130,0
9000131,0
9000132,0
9000133,0
9000134,0
9000135,0
9000136,0
9000137,0
9000138,0
9000139,0
9000140,0
9000141,0
9000142,0
9000143,0
9000144,0
9000145,0
9000146,0
9000147,0
9000148,0
9000149,0
9000150,0
9000151,0
9000152,0
9000153,0
9000154,0
9000155,0
9000156,0
9000157,0
9000158,0
9000159,0
9000160,0
9000161,0
9000162,0
9000163,0
9000164,0
9000165,0
9000166,0
9000167,0
9000168,0
9000169,0
9000170,0
9000171,0
9000172,0
9000173,0
9000174,0
9000175,0
9000176,0
9000177,0
9000178,0
9000179,0
9000180,0
9000181,0
9000182,0
9000183,0
9000184,0
9000185,0
9000186,0
9000187,0
9000188,0
9000189,0
9000190,0
9000191,0
9000192,0
9000193,0
9000194,0
9000195,0
9000196,0
9000197,0
9000198,0
9000199,0
9000200,0
9000201,0
9000202,0
9000203,0
9000204,0
9000205,0
9000206,0
9000207,0
9000208,0
9000209,0
9000210,0
9000211,0
9000212,0
9000213,0
9000214,0
9000215,0
9000216,0
9000217,0
9000218,0
9000219,0
9000220,0
9000221,0
9000222,0
9000223,0
9000224,0
9000225,0
9000226,0
9000227,0
9000228,0
9000229,0
9000230,0
9000231,0
9000232,0
9000233,0
9000234,0
9000235,0
9000236,0
9000237,0
9000238,0
9000239,0
9000240,0
9000241,0
9000242,0
9000243,0
9000244,0
9000245,0
9000246,0
