id,映射[text_i18n]
9000000,90000001
9000001,90000011
9000002,90000021
9000003,90000031
9000004,90000041
9000005,90000051
9000006,90000061
9000007,90000071
9000008,90000081
9000009,90000091
9000010,90000101
9000011,90000111
9000012,90000121
9000013,90000131
9000014,90000141
9000015,90000151
9000016,90000161
9000017,90000171
9000018,90000181
9000019,90000191
9000020,90000201
9000021,90000211
9000022,90000221
9000023,90000231
9000024,90000241
9000025,90000251
9000026,90000261
9000027,90000271
9000028,90000281
9000029,90000291
9000030,90000301
9000031,90000311
9000032,90000321
9000033,90000331
9000034,90000341
9000035,90000351
9000036,90000361
9000037,90000371
9000038,90000381
9000039,90000391
9000040,90000401
9000041,90000411
9000042,90000421
9000043,90000431
9000044,90000441
9000045,90000451
9000046,90000461
9000047,90000471
9000048,90000481
9000049,90000491
9000050,90000501
9000051,90000511
9000052,90000521
9000053,90000531
9000054,90000541
9000055,90000551
9000056,90000561
9000057,90000571
9000058,90000581
9000059,90000591
9000060,90000601
9000061,90000611
9000062,90000621
9000063,90000631
9000064,90000641
9000065,90000651
9000066,90000661
9000067,90000671
9000068,90000681
9000069,90000691
9000070,90000701
9000071,90000711
9000072,90000721
9000073,90000731
9000074,90000741
9000075,90000751
9000076,90000761
9000077,90000771
9000078,90000781
9000079,90000791
9000080,90000801
9000081,90000811
9000082,90000821
9000083,90000831
9000084,90000841
9000085,90000851
9000086,90000861
9000087,90000871
9000088,90000881
9000089,90000891
9000090,90000901
9000091,90000911
9000092,90000921
9000093,90000931
9000094,90000941
9000095,90000951
9000096,90000961
9000097,90000971
9000098,90000981
9000099,90000991
9000100,90001001
9000101,90001011
9000102,90001021
9000103,90001031
9000104,90001041
9000105,90001051
9000106,90001061
9000107,90001071
9000108,90001081
9000109,90001091
9000110,90001101
9000111,90001111
9000112,90001121
9000113,90001131
9000114,90001141
9000115,90001151
9000116,90001161
9000117,90001171
9000118,90001181
9000119,90001191
9000120,90001201
9000121,90001211
9000122,90001221
9000123,90001231
9000124,90001241
9000125,90001251
9000126,90001261
9000127,90001271
9000128,90001281
9000129,90001291
9000130,90001301
9000131,90001311
9000132,90001321
9000133,90001331
9000134,90001341
9000135,90001351
9000136,90001361
9000137,90001371
9000138,90001381
9000139,90001391
9000140,90001401
9000141,90001411
9000142,90001421
9000143,90001431
9000144,90001441
9000145,90001451
9000146,90001461
9000147,90001471
9000148,90001481
9000149,90001491
9000150,90001501
9000151,90001511
9000152,90001521
9000153,90001531
9000154,90001541
9000155,90001551
9000156,90001561
9000157,90001571
9000158,90001581
9000159,90001591
9000160,90001601
9000161,90001611
9000162,90001621
9000163,90001631
9000164,90001641
9000165,90001651
9000166,90001661
9000167,90001671
9000168,90001681
9000169,90001691
9000170,90001701
9000171,90001711
9000172,90001721
9000173,90001731
9000174,90001741
9000175,90001751
9000176,90001761
9000177,90001771
9000178,90001781
9000179,90001791
9000180,90001801
9000181,90001811
9000182,90001821
9000183,90001831
9000184,90001841
9000185,90001851
9000186,90001861
9000187,90001871
9000188,90001881
9000189,90001891
9000190,90001901
9000191,90001911
9000192,90001921
9000193,90001931
9000194,90001941
9000195,90001951
9000196,90001961
9000197,90001971
9000198,90001981
9000199,90001991
9000200,90002001
9000201,90002011
9000202,90002021
9000203,90002031
9000204,90002041
9000205,90002051
9000206,90002061
9000207,90002071
9000208,90002081
9000209,90002091
9000210,90002101
9000211,90002111
9000212,90002121
9000213,90002131
9000214,90002141
9000215,90002151
9000216,90002161
9000217,90002171
9000218,90002181
9000219,90002191
9000220,90002201
9000221,90002211
9000222,90002221
9000223,90002231
9000224,90002241
9000225,90002251
9000226,90002261
9000227,90002271
9000228,90002281
9000229,90002291
9000230,90002301
9000231,90002311
9000232,90002321
