id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
6000000,60000000,60000001,60000002,1,0,1,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,0,,1,418|0,5,123,1,0,0,1007000,[6000001],100,50,0,0,421|0,0,,,
6000001,60000010,60000011,60000012,1,0,2,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,1,,2,418|0,7,116,1,0,0,1007001,[6000002],100,50,0,0,409|9000,0,,,
6000002,60000020,60000021,60000022,1,0,3,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,2,,15,418|0,37,135,10,0,0,1007002,[6001002],100,50,0,0,422|0,0,,,
6000003,60000030,60000031,60000032,1,0,5,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,3,,4,418|0,0,110,1,0,0,1007003,[6000004],100,50,0,0,406|2,0,,,
6000004,60000040,60000041,60000042,1,0,6,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,4,,,418|0,0,116,1,0,0,1007004,[6000005],100,50,0,0,409|0,0,,,
6000005,60000050,60000051,60000052,1,0,7,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,6,418|0,0,135,20,0,0,1007005,[6000006],100,50,0,0,422|0,0,,,
6000006,60000060,60000061,60000062,1,0,8,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,6,,7,418|0,13,110,1,1,0,1007006,[6000007],100,50,0,0,406|1,0,,,
6000007,60000070,60000071,60000072,1,0,9,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,7,,,418|0,0,115,1,0,0,1007007,[6000008],100,50,0,0,407|0,0,,,
6000008,60000080,60000081,60000082,1,0,10,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,3,0,0,1007008,[6000009],100,50,0,0,421|0,0,,,
6000009,60000090,60000091,60000092,1,0,11,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,extra1,418|0,38,135,50,0,0,1007009,[6001003],100,50,0,0,422|0,0,,,
6000010,60000100,60000101,60000102,1,0,13,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,10,,11,418|0,17,128,1,99001,0,1007010,[6000011],150,50,0,0,409|9900,0,,,
6000011,60000110,60000111,60000112,1,0,14,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,11,,,418|0,0,113,1,5,0,1007011,[6000012],150,50,0,0,407|0,0,,,
6000012,60000120,60000121,60000122,1,0,15,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,13,418|0,19,123,4,0,0,1007012,[6000013],150,50,0,0,421|0,0,,,
6000013,60000130,60000131,60000132,1,0,16,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,13,,14,418|0,0,124,1,0,0,1007013,[6000014],150,50,0,0,402|0,0,,,
6000014,60000140,60000141,60000142,1,0,17,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,14,,extra2,418|0,21,122,2,2,0,1007014,[6000015],150,50,0,0,406|2,0,,,
6000015,60000150,60000151,60000152,1,0,18,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,extra2,,16,418|0,22,119,10,0,0,1007015,[6000016],150,50,0,0,408|4,0,,,
6000016,60000160,60000161,60000162,1,0,19,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,16,,17,418|0,23,133,1,0,0,1007016,[6000017],150,50,0,0,419|0,0,,,
6000017,60000170,60000171,60000172,1,0,20,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,17,,,418|0,0,121,1,100032,0,1007017,[6001000],150,50,0,0,412|100022,0,,,
6000018,60000180,60000181,60000182,1,0,22,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,20,418|0,24,151,1,0,0,1007018,[6000019],150,50,0,0,410|0,0,,,
6000019,60000190,60000191,60000192,1,0,23,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,20,,21,418|0,25,126,1,0,0,1007019,[6000020],200,50,0,0,405|0,0,,,
6000020,60000200,60000201,60000202,1,0,24,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,21,,,418|0,0,125,1,0,0,1007020,[6000021],200,50,0,0,415|0,0,,,
6000021,60000210,60000211,60000212,1,0,25,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,6,0,0,1007021,[6000022],200,50,0,0,422|0,0,,,
6000022,60000220,60000221,60000222,1,0,26,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,110,1,6,0,1007022,[6000023],200,50,0,0,406|6,0,,,
6000023,60000230,60000231,60000232,1,0,27,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,6,0,0,1007023,[6000024],200,50,0,0,421|0,0,,,
6000024,60000240,60000241,60000242,1,0,28,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,135,1000,0,0,1007024,[6000025],200,50,0,0,422|0,0,,,
6000025,60000250,60000251,60000252,1,0,29,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,27,418|0,26,110,1,1,0,1007025,[6000026],200,50,0,0,406|1,0,,,
6000026,60000260,60000261,60000262,1,0,30,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,27,,,418|0,0,131,1,0,0,1007026,[6000027],200,50,0,0,441|0,0,,,
6000027,60000270,60000271,60000272,1,0,31,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,113,2,1,0,1007027,[6000028],200,50,0,0,407|0,0,,,
6000028,60000280,60000281,60000282,1,0,32,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,141,1,100017,0,1007028,[6000029],200,50,0,0,409|0,0,,,
6000029,60000290,60000291,60000292,1,0,33,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,144,5,9010,0,1007029,[6000030],250,50,0,0,422|0,0,,,
6000030,60000300,60000301,60000302,1,0,34,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,32,418|0,0,109,10,0,0,1007030,"[6000031, 6002000]",250,50,0,0,422|0,0,,,
6000031,60000310,60000311,60000312,1,0,35,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,32,,,418|0,0,145,1,100017,0,1007031,[6000032],250,50,0,0,412|100017,0,,,
6000032,60000320,60000321,60000322,1,0,36,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,140,6,100017,0,1007032,[6000033],250,50,0,0,407|0,0,,,
6000033,60000330,60000331,60000332,1,0,37,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,110,2,6,0,1007033,[6001001],250,50,0,0,406|6,0,,,
6000034,60000340,60000341,60000342,1,0,39,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,100017,0,1007034,[6000035],250,50,0,0,412|100017,0,,,
6000035,60000350,60000351,60000352,1,0,40,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,37,418|0,0,140,6,100017,0,1007035,[6000036],250,50,0,0,407|0,0,,,
6000036,60000360,60000361,60000362,1,0,41,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,37,,,418|0,0,148,2,0,0,1007036,[6000037],250,50,0,0,419|0,0,,,
6000037,60000370,60000371,60000372,1,0,42,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,116,10,0,0,1007037,[6000038],250,50,0,0,409|0,0,,,
6000038,60000380,60000381,60000382,1,0,43,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,41,418|0,0,122,3,2,0,1007038,[6000039],250,50,0,0,406|2,0,,,
6000039,60000390,60000391,60000392,1,0,44,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,41,,42,418|0,0,128,6,7004,0,1007039,[6000040],300,50,0,0,407|0,0,,,
6000040,60000400,60000401,60000402,1,0,45,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,42,,43,418|0,0,151,5,0,0,1007040,[6000041],300,50,0,0,410|0,0,,,
6000041,60000410,60000411,60000412,1,0,46,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,43,,44,418|0,0,110,2,4,0,1007041,[6000042],300,50,0,0,406|4,0,,,
6000042,60000420,60000421,60000422,1,0,47,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,44,,45,418|0,0,116,10,0,0,1007042,[6000043],300,50,0,0,409|0,0,,,
6000043,60000430,60000431,60000432,1,0,48,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,45,,,418|0,0,111,3,0,0,1007043,[6000044],300,50,0,0,407|0,0,,,
6000044,60000440,60000441,60000442,1,0,49,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,114,60,100017,0,1007044,[6000045],300,50,0,0,412|100017,0,,,
6000045,60000450,60000451,60000452,1,0,50,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,125,1,0,0,1007045,[6000046],300,50,0,0,415|0,0,,,
6000046,60000460,60000461,60000462,1,0,51,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,145,2,100017,0,1007046,[6000047],300,50,0,0,412|0,0,,,
6000047,60000470,60000471,60000472,1,0,52,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,140,10,100017,0,1007047,[6000048],300,50,0,0,407|0,0,,,
