id,标题,描述,备注,主支线,不知道,No.,发布人,不知道,不知道,不知道,不知道,不知道,不知道,任务内容,数量,需求,需求2,主要奖励,下个解锁[task],金币奖励,影响力奖励,不知道,不知道,不知道,不知道,不知道,不知道,不知道
6000000,60000000,60000001,60000002,1,0,1,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,1,418|0,5,123,1,0,0,2000000,[6000001],100,50,0,0,421|0,0,,,
6000001,60000010,60000011,60000012,1,0,2,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,1,,2,418|0,7,116,1,0,0,2000001,[6000002],100,50,0,0,409|9000,0,,,
6000002,60000020,60000021,60000022,1,0,3,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,2,,15,418|0,37,135,10,0,0,2000002,[6001002],100,50,0,0,422|0,0,,,
6000003,60000030,60000031,60000032,1,0,5,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,3,,4,418|0,0,110,1,0,0,2000004,[6000004],100,50,0,0,406|2,0,,,
6000004,60000040,60000041,60000042,1,0,6,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,4,,,418|0,0,116,1,0,0,2000005,[6000005],100,50,0,0,409|0,0,,,
6000005,60000050,60000051,60000052,1,0,7,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,6,418|0,0,135,20,0,0,2000006,[6000006],100,50,0,0,422|0,0,,,
6000006,60000060,60000061,60000062,1,0,8,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,6,,7,418|0,13,110,1,1,0,2000007,[6000007],100,50,0,0,406|1,0,,,
6000007,60000070,60000071,60000072,1,0,9,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,7,,,418|0,0,115,1,0,0,2000008,[6000008],100,50,0,0,407|0,0,,,
6000008,60000080,60000081,60000082,1,0,10,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,3,0,0,2000009,[6000009],100,50,0,0,421|0,0,,,
6000009,60000090,60000091,60000092,1,0,11,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,extra1,418|0,38,135,50,0,0,2000010,[6001003],150,50,0,0,422|0,0,,,
6000010,60000100,60000101,60000102,1,0,13,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,10,,11,418|0,17,128,1,99001,0,2000012,[6000011],150,50,0,0,409|9900,0,,,
6000011,60000110,60000111,60000112,1,0,14,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,11,,,418|0,0,113,1,5,0,2000013,[6000012],150,50,0,0,407|0,0,,,
6000012,60000120,60000121,60000122,1,0,15,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,13,418|0,19,123,4,0,0,2000014,[6000013],150,50,0,0,421|0,0,,,
6000013,60000130,60000131,60000132,1,0,16,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,13,,14,418|0,0,124,1,0,0,2000015,[6000014],150,50,0,0,402|0,0,,,
6000014,60000140,60000141,60000142,1,0,17,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,14,,extra2,418|0,21,122,2,2,0,2000016,[6000015],150,50,0,0,406|2,0,,,
6000015,60000150,60000151,60000152,1,0,18,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,extra2,,16,418|0,22,119,10,0,0,2000017,[6000016],150,50,0,0,408|4,0,,,
6000016,60000160,60000161,60000162,1,0,19,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,16,,17,418|0,23,133,1,0,0,2000018,[6000017],150,50,0,0,419|0,0,,,
6000017,60000170,60000171,60000172,1,0,20,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,17,,,418|0,0,121,1,100032,0,2000019,[6001000],150,50,0,0,412|100022,0,,,
6000018,60000180,60000181,60000182,1,0,22,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,20,418|0,24,151,1,0,0,2000021,[6000019],200,50,0,0,410|0,0,,,
6000019,60000190,60000191,60000192,1,0,23,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,20,,21,418|0,25,126,1,0,0,2000022,[6000020],200,50,0,0,405|0,0,,,
6000020,60000200,60000201,60000202,1,0,24,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,21,,,418|0,0,125,1,0,0,2000023,[6000021],200,50,0,0,415|0,0,,,
6000021,60000210,60000211,60000212,1,0,25,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,6,0,0,2000024,[6000022],200,50,0,0,422|0,0,,,
6000022,60000220,60000221,60000222,1,0,26,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,110,1,6,0,2000025,[6000023],200,50,0,0,406|6,0,,,
6000023,60000230,60000231,60000232,1,0,27,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,6,0,0,2000026,[6000024],200,50,0,0,421|0,0,,,
6000024,60000240,60000241,60000242,1,0,28,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,135,1000,0,0,2000027,[6000025],200,50,0,0,422|0,0,,,
6000025,60000250,60000251,60000252,1,0,29,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,27,418|0,26,110,1,1,0,2000028,[6000026],200,50,0,0,406|1,0,,,
6000026,60000260,60000261,60000262,1,0,30,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,27,,,418|0,0,131,1,0,0,2000029,[6000027],200,50,0,0,419|0,0,,,
6000027,60000270,60000271,60000272,1,0,31,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,113,2,1,0,2000030,[6000028],250,50,0,0,407|0,0,,,
6000028,60000280,60000281,60000282,1,0,32,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,141,1,100017,0,2000031,[6000029],250,50,0,0,409|0,0,,,
6000029,60000290,60000291,60000292,1,0,33,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,144,5,9010,0,2000032,[6000030],250,50,0,0,422|0,0,,,
