id,映射[text_i18n]
10,4060
20,20
30,4090
40,40
50,50
60,60
70,70
80,80
90,90
100,100
110,110
120,120
130,130
140,140
150,150
160,1310
170,170
180,180
190,190
200,200
210,210
220,220
230,230
800,800
810,810
820,820
830,830
840,840
850,850
860,860
870,870
880,880
890,890
900,900
1000,1000
1001,1001
1010,1010
1011,1011
1020,1020
1021,1021
1030,1030
1031,1031
1040,1040
1041,1041
1050,1050
1051,1051
1060,1060
1061,1061
1070,1070
1071,1071
1080,1080
1081,1081
1090,1090
1091,1091
1100,1100
1101,1101
1110,1110
1111,1111
1120,1120
1121,1121
1130,1130
1131,1131
1140,1140
1141,1141
1150,1150
1151,1151
1160,1160
1161,1161
1170,1170
1171,1171
1180,1180
1181,1181
1190,1190
1191,1191
1200,1200
1201,1201
1210,1210
1211,1211
1220,1220
1221,1221
1230,1230
1231,1231
1240,1240
1241,1241
1250,1250
1251,1251
1260,1260
1261,1261
1270,1270
1271,1271
1280,1280
1281,1281
1290,1290
1291,1291
1300,1300
1301,1301
1310,1310
1311,1311
1320,1320
1321,1321
1330,1330
1331,1331
1340,1340
1341,1341
1350,1350
1351,1351
1360,1360
1361,1121
1370,1370
1371,1371
1380,1380
1381,1381
1390,1390
1391,1391
1400,1400
1401,1401
1410,1410
1411,1411
1420,1420
1421,1421
1430,1430
1431,1431
1440,1440
1441,1441
1450,1450
1451,1451
1460,1460
1461,1461
1470,1470
1471,1471
1480,1480
1481,1481
1490,1490
1491,1491
1500,1500
1501,1501
1510,1510
1511,1511
1520,1520
1521,1521
1530,1530
1531,1531
1540,1540
1541,1541
1550,1550
1551,1551
1560,1560
1561,1561
1570,1570
1571,1571
1580,1580
1581,1581
1590,1590
1591,1591
1600,1600
1601,1601
1610,1610
1611,1611
1620,1620
1621,1621
1630,1630
1631,1631
4000,4000
4002,4002
4010,4010
4011,4011
4020,4200000
4022,4022
4030,4200010
4040,4200020
4050,4050
4052,4052
4060,4060
4061,4061
4062,4062
4070,4070
4071,4070
4072,4072
4080,4080
4081,4080
4082,4082
4090,4090
4091,4090
4100,4011
4101,4011
4102,4102
4110,4110
4120,4120
4130,4130
4131,4130
4132,4132
4140,4140
4150,4150
4152,4152
4160,4160
4170,4200030
4180,4180
4190,4190
4200,4200
4201,4201
4210,4040030
4211,4090
4220,4220
4221,4220
4222,4222
4230,4230
4232,4232
4240,4240
4242,4242
4250,4200040
4260,4260
4270,4270
4272,4272
4280,4280
4282,4282
4290,4290
4292,4292
4300,4300
4301,4300
4310,4310
4312,4312
4320,4320
