id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,500000,500600,7,500005,600,"[1, 2, 3, 4]","[1, 2, 3]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,500421,500422,500419,500420,prefabs/ui/huodong/sth_end_pic/sth_end_good,prefabs/ui/huodong/sth_end_pic/sth_end_bad,prefabs/ui/book/cover/activity_1,11&500425|21&500426|31&500427|41&500428|12&500433|22&500434|32&500435|42&500436|13&500441|23&500442|33&500443|43&500444,1,"[100126, 100106]",9500|9503|9504|9505|9506|9507|9508|9509|9510|9511,200300|1401000
2,500000,500600,9,500005,600,"[1, 2, 3, 4]","[1, 2, 3]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,500421,500422,500419,500420,prefabs/ui/huodong/sth_end_pic/sth_end_good,prefabs/ui/huodong/sth_end_pic/sth_end_bad,prefabs/ui/book/cover/activity_1,11&500425|21&500426|31&500427|41&500428|12&500433|22&500434|32&500435|42&500436|13&500441|23&500442|33&500443|43&500444,1,"[100126, 100106]",9500|9503|9504|9505|9506|9507|9508|9509|9510|9511,200300|1401000
3,501000,501600,14,501005,600,"[5, 6, 7, 8]","[4, 5, 6]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,501421,501422,501419,501420,prefabs/ui/huodong/sth2_end_pic/sth2_end_good,prefabs/ui/huodong/sth2_end_pic/sth2_end_bad,prefabs/ui/book/cover/activity_1,11&501425|21&501426|31&501427|41&501428|12&501433|22&501434|32&501435|42&501436|13&501441|23&501442|33&501443|43&501444,2,"[100130, 100090]",9512|9513|9514|9515|9516|9517|9518|9519|9520|9521,200300|1401000
4,501000,501600,7,501005,600,"[5, 6, 7, 8]","[4, 5, 6]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,501421,501422,501419,501420,prefabs/ui/huodong/sth2_end_pic/sth2_end_good,prefabs/ui/huodong/sth2_end_pic/sth2_end_bad,prefabs/ui/book/cover/activity_1,11&501425|21&501426|31&501427|41&501428|12&501433|22&501434|32&501435|42&501436|13&501441|23&501442|33&501443|43&501444,2,"[100130, 100090]",9512|9513|9514|9515|9516|9517|9518|9519|9520|9521,200300|1401000
5,502000,502600,9,502005,600,"[9, 10, 11, 12]","[7, 8, 9]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,502421,502422,502419,502420,prefabs/ui/huodong/sth3_end_pic/sth3_end_good,prefabs/ui/huodong/sth3_end_pic/sth3_end_bad,prefabs/ui/book/cover/activity_1,11&502425|21&502426|31&502427|41&502428|12&502433|22&502434|32&502435|42&502436|13&502441|23&502442|33&502443|43&502444,3,"[100158, 100160]",9522|9523|9524|9525|9526|9527|9528|9529|9530|9531,200300|1401000
6,502000,502600,14,502005,600,"[9, 10, 11, 12]","[7, 8, 9]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,502421,502422,502419,502420,prefabs/ui/huodong/sth3_end_pic/sth3_end_good,prefabs/ui/huodong/sth3_end_pic/sth3_end_bad,prefabs/ui/book/cover/activity_1,11&502425|21&502426|31&502427|41&502428|12&502433|22&502434|32&502435|42&502436|13&502441|23&502442|33&502443|43&502444,3,"[100158, 100160]",9522|9523|9524|9525|9526|9527|9528|9529|9530|9531,200300|1401000
7,500000,500600,7,500005,600,"[1, 2, 3, 4]","[1, 2, 3]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,500421,500422,500419,500420,prefabs/ui/huodong/sth_end_pic/sth_end_good,prefabs/ui/huodong/sth_end_pic/sth_end_bad,prefabs/ui/book/cover/activity_1,11&500425|21&500426|31&500427|41&500428|12&500433|22&500434|32&500435|42&500436|13&500441|23&500442|33&500443|43&500444,1,"[100126, 100106]",9500|9503|9504|9505|9506|9507|9508|9509|9510|9511,200300|1401000
8,500000,500600,9,500005,600,"[1, 2, 3, 4]","[1, 2, 3]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,500421,500422,500419,500420,prefabs/ui/huodong/sth_end_pic/sth_end_good,prefabs/ui/huodong/sth_end_pic/sth_end_bad,prefabs/ui/book/cover/activity_1,11&500425|21&500426|31&500427|41&500428|12&500433|22&500434|32&500435|42&500436|13&500441|23&500442|33&500443|43&500444,1,"[100126, 100106]",9500|9503|9504|9505|9506|9507|9508|9509|9510|9511,200300|1401000
9,500000,500600,14,500005,600,"[1, 2, 3, 4]","[1, 2, 3]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,500421,500422,500419,500420,prefabs/ui/huodong/sth_end_pic/sth_end_good,prefabs/ui/huodong/sth_end_pic/sth_end_bad,prefabs/ui/book/cover/activity_1,11&500425|21&500426|31&500427|41&500428|12&500433|22&500434|32&500435|42&500436|13&500441|23&500442|33&500443|43&500444,2,"[100126, 100106]",9500|9503|9504|9505|9506|9507|9508|9509|9510|9511,200300|1401000
10,500000,500600,7,500005,600,"[1, 2, 3, 4]","[3, 4, 5]","[1302000, 1302001, 1302002]",prefabs/ui/huodong/map/map_1,500421,500422,500419,500420,prefabs/ui/huodong/sth_end_pic/sth2_end_good,prefabs/ui/huodong/sth_end_pic/sth2_end_bad,prefabs/ui/book/cover/activity_2,11&500425|21&500426|31&500427|41&500428|12&500433|22&500434|32&500435|42&500436|13&500441|23&500442|33&500443|43&500444,2,"[100126, 100106]",9500|9503|9504|9505|9506|9507|9508|9509|9510|9511,200300|1401000
