id,不知道
500000,5000000
500001,5000010
500002,5000020
500003,5000030
500004,
500005,5000050
500009,5000090
500010,5000100
500011,5000110
500015,5000150
500016,5000160
500017,5000170
500018,5000180
500019,
500020,
500021,
500022,
500023,5000230
500024,5000240
500025,5000250
500026,5000260
500027,5000270
500028,5000280
500029,5000290
500030,5000300
500031,5000310
500032,5000320
500033,5000330
500034,
500053,
500054,5000540
500055,5000550
500056,5000560
500057,5000570
500058,5000580
500059,5000590
500060,5000600
500061,5000610
500062,5000620
500063,5000630
500064,5000640
500065,
500084,
500085,5000850
500086,5000860
500087,5000870
500088,5000880
500089,5000890
500090,5000900
500091,5000910
500092,5000920
500093,5000930
500094,5000940
500095,5000950
500096,
500115,
500116,5001160
500117,5001170
500118,5001180
500119,
500120,
500121,
500122,5001220
500123,5001230
500124,5001240
500125,5001250
500126,5001260
500127,5001270
500128,5001280
500129,5001290
500130,5001300
500131,5001310
500132,5001320
500133,
500152,
500153,5001530
500154,5001540
500155,5001550
500156,5001560
500157,5001570
500158,5001580
500159,5001590
500160,5001600
500161,5001610
500162,5001620
500163,5001630
500164,
500183,
500184,5001840
500185,5001850
500186,5001860
500187,5001870
500188,5001880
500189,5001890
500190,5001900
500191,5001910
500192,5001920
500193,5001930
500194,5001940
500195,
500214,
500215,5002150
500216,5002160
500217,5002170
500218,
500219,
500220,
500221,5002210
500222,5002220
500223,5002230
500224,5002240
500225,5002250
500226,5002260
500227,5002270
500228,5002280
500229,5002290
500230,5002300
500231,5002310
500232,
500251,
500252,5002520
500253,5002530
500254,5002540
500255,5002550
500256,5002560
500257,5002570
500258,5002580
500259,5002590
500260,5002600
500261,5002610
500262,5002620
500263,
500282,
500283,5002830
500284,5002840
500285,5002850
500286,5002860
500287,5002870
500288,5002880
500289,5002890
500290,5002900
500291,5002910
500292,5002920
500293,5002930
500294,
500313,
500314,5003140
500315,5003150
500316,5003160
500317,
500318,
500319,
500320,5003200
500321,5003210
500322,5003220
500323,5003230
500324,5003240
500325,5003250
500326,5003260
500327,5003270
500328,5003280
500329,5003290
500330,5003300
500331,
500350,
500351,5003510
500352,5003520
500353,5003530
500354,5003540
500355,5003550
500356,5003560
500357,5003570
500358,5003580
500359,5003590
500360,5003600
500361,5003610
500362,
500381,
500382,5003820
500383,5003830
500384,5003840
500385,5003850
500386,5003860
500387,5003870
500388,5003880
500389,5003890
500390,5003900
500391,5003910
500392,5003920
500393,
500412,
500413,5004130
500414,5004140
500415,5004150
500416,
500417,
500418,
500419,5004190
500420,5004200
500421,5004210
500422,5004220
500423,
500424,
500425,5004250
500426,5004260
500427,5004270
500428,5004280
500429,
500430,
500431,
500432,
500433,5004330
500434,5004340
500435,5004350
500436,5004360
500437,
500438,
500439,
500440,
500441,5004410
500442,5004420
500443,5004430
500444,5004440
500500,5005000
500501,5005010
500502,5005020
500503,5005030
500504,5005040
500505,5005050
500506,5005060
500507,5005070
500508,5005080
500509,5005090
500510,5005100
500511,5005110
500512,5005120
500513,5005130
500514,5005140
500515,5005150
500516,5005160
500517,5005170
500518,5005180
500519,5005190
500520,5005200
500521,5005210
500522,5005220
500523,5005230
500524,5005240
500525,5005250
500526,5005260
500527,
500528,
500529,
500530,
500600,5006000
501000,
501001,
501002,
501003,
501004,
501005,
501006,
501007,
501008,
501009,
501010,
501011,
501012,
501013,
501014,
501015,
501016,
501017,
501018,
501019,
501020,
501021,
501022,
501023,
501024,
501025,
501026,
501027,
501028,
501029,
501030,
501031,
501032,
501033,
501034,
501035,
501036,
501037,
501038,
501039,
501040,
501041,
501042,
501043,
501044,
501045,
501046,
501047,
501048,
501049,
501050,
501051,
501052,
501053,
501054,
501055,
501056,
501057,
501058,
501059,
501060,
501061,
501062,
501063,
501064,
501065,
501066,
501067,
501068,
501069,
501070,
501071,
501072,
501073,
501074,
501075,
501076,
501077,
501078,
501079,
501080,
501081,
501082,
501083,
501084,
501085,
501086,
501087,
501088,
501089,
501090,
501091,
501092,
501093,
501094,
501095,
501096,
501097,
501098,
501099,
501100,
501101,
501102,
501103,
501104,
501105,
501106,
501107,
501108,
501109,
501110,
501111,
501112,
501113,
501114,
501115,
501116,
501117,
501118,
501119,
501120,
501121,
501122,
501123,
501124,
501125,
501126,
501127,
501128,
501129,
501130,
501131,
501132,
501133,
501134,
