id,不知道,不知道,不知道,不知道
1,[1],[1],event_site_1,1/state2
2,[2],[1],event_site_1,1/state2
3,[3],[1],event_site_1,1/state2
4,[4],[1],event_site_1,3/state2
5,[7],[1],event_site_1,2/state2
6,[8],[1],event_site_1,2/state2
7,[10],[2],event_site_2,1/state2
8,[11],[2],event_site_2,1/state2
9,[13],[2],event_site_2,2/state2
10,[14],[2],event_site_2,2/state2
11,[16],[2],event_site_2,3/state1
12,[17],[2],event_site_2,3/state1
13,[18],[2],event_site_2,3/state1
14,[19],[3],event_site_2,2/state3
15,[20],[3],event_site_2,2/state3
16,[21],[3],event_site_2,2/state3
17,[19],[3],event_site_4,1/state2
18,[20],[3],event_site_4,1/state2
19,[21],[3],event_site_4,1/state2
20,[22],[3],event_site_3,2/state3
21,[23],[3],event_site_3,2/state3
22,"[24, 21]",[3],event_site_3,2/state2
23,[25],[3],event_site_3,3/state2
24,[26],[3],event_site_3,3/state2
25,[27],[3],event_site_3,3/state2
26,"[27, 24, 20]",[3],event_site_3,2/state2
27,[28],[4],event_site_2,3/state2
28,[29],[4],event_site_2,3/state2
29,[30],[4],event_site_2,3/state2
30,[31],[4],event_site_4,1/state3
31,[32],[4],event_site_4,1/state3
32,[33],[4],event_site_4,1/state3
33,[34],[4],event_site_4,3/state4
34,[35],[4],event_site_4,3/state4
35,[36],[4],event_site_4,3/state3
36,[37],[1],event_site_1,1/state2
37,[38],[1],event_site_1,1/state2
38,[39],[1],event_site_1,1/state2
39,[40],[1],event_site_1,2/state2
40,[41],[1],event_site_1,2/state2
41,[42],[1],event_site_1,2/state2
42,[43],[1],event_site_1,3/state2
43,[44],[1],event_site_1,3/state2
44,[45],[1],event_site_1,3/state2
45,[43],[1],event_site_1,3/state1
46,[44],[1],event_site_1,3/state1
47,[45],[1],event_site_1,3/state1
48,[46],[2],event_site_2,1/state1
49,[47],[2],event_site_2,1/state1
50,[48],[2],event_site_2,1/state1
51,[49],[2],event_site_2,2/state1
52,[50],[2],event_site_2,2/state1
53,[51],[2],event_site_2,2/state1
54,[52],[2],event_site_2,3/state1
55,[53],[2],event_site_2,3/state1
56,[54],[2],event_site_2,3/state1
57,[55],[3],event_site_3,1/state1
58,[56],[3],event_site_3,1/state1
59,[57],[3],event_site_3,1/state1
60,[58],[3],event_site_3,2/state2
61,[59],[3],event_site_3,2/state2
62,[60],[3],event_site_3,2/state2
63,[61],[3],event_site_3,3/state2
64,[62],[3],event_site_3,3/state2
65,[63],[3],event_site_3,3/state2
66,[64],[4],event_site_4,1/state2
67,[65],[4],event_site_4,1/state2
68,[66],[4],event_site_4,1/state2
69,[64],[4],event_site_4,2/state2
70,[65],[4],event_site_4,2/state2
71,[66],[4],event_site_4,2/state2
72,[67],[4],event_site_4,3/state2
73,[68],[4],event_site_4,3/state2
74,[69],[4],event_site_4,3/state2
75,[76],[1],event_site_1,1/state2
76,[77],[1],event_site_1,1/state2
77,[78],[1],event_site_1,1/state2
78,[76],[1],event_site_1,2/state1
79,[77],[1],event_site_1,3/state2
80,[78],[1],event_site_1,3/state2
81,[79],[1],event_site_1,3/state1
82,[80],[1],event_site_1,3/state1
83,[81],[1],event_site_1,3/state1
84,[82],[2],event_site_2,1/state1
85,[83],[2],event_site_2,1/state1
86,[84],[2],event_site_2,1/state1
87,[85],[2],event_site_2,2/state2
88,[86],[2],event_site_2,2/state2
89,[87],[2],event_site_2,2/state2
90,[90],[2],event_site_2,3/state2
91,[99],[3],event_site_3,1/state2
92,[100],[4],event_site_4,1/state1
93,[101],[4],event_site_4,1/state1
94,[102],[4],event_site_4,1/state1
95,[103],[4],event_site_4,2/state1
96,[104],[4],event_site_4,2/state1
97,[105],[4],event_site_4,2/state1
98,[106],[4],event_site_4,1/state2
99,[107],[4],event_site_4,1/state2
100,[108],[4],event_site_4,1/state2
101,[106],[4],event_site_4,3/state2
102,[107],[4],event_site_4,3/state2
103,[108],[4],event_site_4,3/state2
