id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,136,1,95011,1300000,50,1,500025,500026,500027,7000005,HD0,0
2,136,1,95011,1300000,50,0,500028,500029,500030,7000009,HD0,0
3,136,1,95011,1300000,50,-1,500031,500032,500033,7000003,HD0,0
4,136,1,95021,1300001,60,1,500056,500057,500058,7000004,,0
5,136,1,95021,1300001,60,0,500059,500060,500061,7000009,,0
6,136,1,95021,1300001,60,-1,500062,500063,500064,7000008,,0
7,136,1,95001,1300002,70,1,500087,500088,500089,7000003,,0
8,136,1,95001,1300002,70,0,500090,500091,500092,7000009,,0
9,136,1,95001,1300002,70,-1,500093,500094,500095,7000005,,0
10,136,1,95111,1300001,70,1,500124,500125,500126,7000012,HD1,0
11,136,1,95111,1300001,70,1,500127,500128,500129,7000011,HD1,0
12,136,1,95111,1300001,70,0,500130,500131,500132,7000005,HD1,0
13,136,1,95031,1300002,80,0,500155,500156,500157,7000004,,0
14,136,1,95031,1300002,80,1,500158,500159,500160,7000009,,0
15,136,1,95031,1300002,80,-1,500161,500162,500163,7000005,,0
16,136,1,95091,1300003,110,0,500186,500187,500188,7000008,,0
17,136,1,95091,1300003,110,-1,500189,500190,500191,7000012,,0
18,136,1,95091,1300003,110,1,500192,500193,500194,7000009,,0
19,136,1,95071,1300002,70,1,500223,500224,500225,7000003,HD2,0
20,136,1,95071,1300002,70,0,500226,500227,500228,7000005,HD2,0
21,136,1,95071,1300002,70,-1,500229,500230,500231,7000011,HD2,0
22,136,1,95061,1300003,120,1,500254,500255,500256,7000005,,0
23,136,1,95061,1300003,120,1,500257,500258,500259,7000009,,0
24,136,1,95061,1300003,120,-1,500260,500261,500262,7000012,,0
25,136,1,95081,1300004,150,1,500285,500286,500287,7000006,,0
26,136,1,95081,1300004,150,1,500288,500289,500290,7000009,,0
27,136,1,95081,1300004,150,0,500291,500292,500293,7000003,,0
28,136,1,95101,1300002,120,1,500322,500323,500324,7000010,HD3,0
29,136,1,95101,1300002,120,1,500325,500326,500327,7000011,HD3,0
30,136,1,95101,1300002,120,1,500328,500329,500330,7000003,HD3,0
31,136,1,95041,1300003,110,1,500353,500354,500355,7000022,HD4,0
32,136,1,95041,1300003,110,-1,500356,500357,500358,7000021,HD4,0
33,136,1,95041,1300003,110,0,500359,500360,500361,7000009,HD4,0
34,136,1,95051,1300004,150,1,500384,500385,500386,7000004,,0
35,136,1,95051,1300004,150,1,500387,500388,500389,7000008,,0
36,136,1,95051,1300004,150,-100,500390,500391,500392,7000012,,0
37,136,1,95211,1300000,220,0,501025,501026,501027,7000004,HD2_1,0
38,136,1,95211,1300000,220,1,501028,501029,501030,7000005,HD2_1,0
39,136,1,95211,1300000,220,-1,501031,501032,501033,7000010,HD2_1,0
40,136,1,95171,1300001,250,1,501056,501057,501058,7000011,,0
41,136,1,95171,1300001,250,0,501059,501060,501061,7000009,,0
42,136,1,95171,1300001,250,-1,501062,501063,501064,7000002,,0
43,136,1,95221,1300002,290,1,501087,501088,501089,7000003,,0
44,136,1,95221,1300002,290,0,501090,501091,501092,7000006,,0
45,136,1,95221,1300002,290,-1,501093,501094,501095,7000013,,0
46,136,1,95131,1300001,290,1,501124,501125,501126,7000005,,0
47,136,1,95131,1300001,290,0,501127,501128,501129,7000010,,0
48,136,1,95131,1300001,290,-1,501130,501131,501132,7000021,,0
49,136,1,95181,1300002,310,1,501155,501156,501157,7000007,HD2_2,0
50,136,1,95181,1300002,310,0,501158,501159,501160,7000005,HD2_2,0
51,136,1,95181,1300002,310,-1,501161,501162,501163,7000003,HD2_2,0
52,136,1,95201,1300003,440,1,501186,501187,501188,7000012,,0
53,136,1,95201,1300003,440,0,501189,501190,501191,7000010,,0
54,136,1,95201,1300003,440,-1,501192,501193,501194,7000011,,0
55,136,1,95141,1300002,270,1,501223,501224,501225,7000008,,0
56,136,1,95141,1300002,270,-1,501226,501227,501228,7000004,,0
57,136,1,95141,1300002,270,0,501229,501230,501231,7000007,,0
58,136,1,95151,1300003,460,1,501254,501255,501256,7000004,HD2_3,0
59,136,1,95151,1300003,460,-1,501257,501258,501259,7000006,HD2_3,0
60,136,1,95151,1300003,460,0,501260,501261,501262,7000012,HD2_3,0
61,136,1,95191,1300004,580,1,501285,501286,501287,7000004,,0
62,136,1,95191,1300004,580,-1,501288,501289,501290,7000007,,0
63,136,1,95191,1300004,580,0,501291,501292,501293,7000011,,0
64,136,1,95161,1300002,480,0,501322,501323,501324,7000022,HD2_4,0
65,136,1,95161,1300002,480,-1,501325,501326,501327,7000005,HD2_4,0
66,136,1,95161,1300002,480,1,501328,501329,501330,7000008,HD2_4,0
67,136,1,95231,1300003,430,1,501353,501354,501355,7000013,,0
68,136,1,95231,1300003,430,-1,501356,501357,501358,7000002,,0
69,136,1,95231,1300003,430,0,501359,501360,501361,7000007,,0
70,136,1,95121,1300004,580,1,501384,501385,501386,7000021,,0
71,136,1,95121,1300004,580,0,501387,501388,501389,7000012,,0
72,136,1,95121,1300004,580,-1,501390,501391,501392,7000003,,0
73,136,1,95331,1300000,220,1,502025,502026,502027,7000005,HD3_1,0
74,136,1,95331,1300000,220,-1,502028,502029,502030,7000003,HD3_1,0
75,136,1,95331,1300000,220,0,502031,502032,502033,7000004,HD3_1,0
76,136,1,95251,1300001,250,1,502056,502057,502058,7000011,,0
77,136,1,95251,1300001,250,-1,502059,502060,502061,7000006,,0
78,136,1,95251,1300001,250,0,502062,502063,502064,7000002,,0
79,136,1,95241,1300002,290,0,502087,502088,502089,7000012,,0
80,136,1,95241,1300002,290,1,502090,502091,502092,7000010,,0
81,136,1,95241,1300002,290,-1,502093,502094,502095,7000009,,0
82,136,1,95321,1300001,290,1,502124,502125,502126,7000007,HD3_2,0
83,136,1,95321,1300001,290,-1,502127,502128,502129,7000006,HD3_2,0
84,136,1,95321,1300001,290,0,502130,502131,502132,7000011,HD3_2,0
85,136,1,95261,1300002,310,1,502155,502156,502157,7000004,,0
86,136,1,95261,1300002,310,-1,502158,502159,502160,7000010,,0
87,136,1,95261,1300002,310,0,502161,502162,502163,7000011,,0
88,136,1,95351,1300003,440,-1,502186,502187,502188,7000008,,0
89,136,1,95351,1300003,440,1,502189,502190,502191,7000004,,0
90,136,1,95351,1300003,440,0,502192,502193,502194,7000009,,0
91,136,1,95291,1300002,270,1,502223,502224,502225,7000003,,0
92,136,1,95291,1300002,270,0,502226,502227,502228,7000002,,0
93,136,1,95291,1300002,270,-1,502229,502230,502231,7000009,,0
94,136,1,95271,1300003,460,1,502254,502255,502256,7000003,,0
95,136,1,95271,1300003,460,0,502257,502258,502259,7000004,,0
96,136,1,95271,1300003,460,-1,502260,502261,502262,7000022,,0
97,136,1,95301,1300004,580,1,502285,502286,502287,7000012,HD3_3,0
98,136,1,95301,1300004,580,0,502288,502289,502290,7000005,HD3_3,0
99,136,1,95301,1300004,580,-1,502291,502292,502293,7000013,HD3_3,0
100,136,1,95281,1300002,480,1,502322,502323,502324,7000005,,0
101,136,1,95281,1300002,480,0,502325,502326,502327,7000006,,0
102,136,1,95281,1300002,480,-1,502328,502329,502330,7000022,,0
103,136,1,95311,1300003,430,1,502353,502354,502355,7000002,,0
104,136,1,95311,1300003,430,0,502356,502357,502358,7000013,,0
105,136,1,95311,1300003,430,-1,502359,502360,502361,7000004,,0
106,136,1,95341,1300004,580,1,502384,502385,502386,7000011,HD3_4,0
107,136,1,95341,1300004,580,0,502387,502388,502389,7000004,HD3_4,0
108,136,1,95341,1300004,580,-1,502390,502391,502392,7000005,HD3_4,0
