id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
1,500500,136,3,90151,600,180,0,0,0,409|9015,0
2,500501,136,3,90581,600,230,0,0,0,409|9058,0
3,500502,136,3,90961,600,280,0,0,0,409|9096,0
4,500503,136,3,90241,600,20,0,0,0,409|9024,0
5,500504,136,3,90361,600,230,0,0,0,409|9036,0
6,500505,136,3,90551,600,190,0,0,0,409|9055,0
7,500506,136,3,90531,600,550,0,0,0,409|9053,0
8,500507,136,3,90561,600,520,0,0,0,409|9056,0
9,500508,136,3,90571,600,130,0,0,0,409|9057,0
10,500509,136,3,95001,600,230,1,1,1,409|9500,0
11,500510,136,3,95011,600,170,1,1,1,409|9501,0
12,500511,136,3,95021,600,200,1,1,1,409|9502,0
13,500512,136,3,95031,600,240,1,1,1,409|9503,0
14,500513,136,3,95041,600,340,1,1,1,409|9504,0
15,500514,136,3,95051,600,460,1,1,1,409|9505,0
16,500515,136,3,95061,600,360,1,1,1,409|9506,0
17,500516,136,3,95071,600,210,1,1,1,409|9507,0
18,500517,136,3,95081,600,460,1,1,1,409|9508,0
19,500518,136,3,95091,600,350,1,1,1,409|9509,0
20,500519,136,3,95101,600,380,1,1,1,409|9510,0
21,500520,136,3,95111,600,230,1,1,1,409|9511,0
22,500521,136,3,90041,600,20,0,0,0,409|9004,0
23,500522,136,3,90201,600,380,0,0,0,409|9020,0
24,500523,136,3,90021,600,210,0,0,0,409|9002,0
25,500524,136,3,90641,600,400,0,0,0,409|9064,0
26,500525,136,3,90011,600,10,0,0,0,409|9001,0
27,500526,136,3,90151,600,180,0,0,0,409|9015,0
28,501500,136,3,90581,600,230,0,0,0,409|9058,0
29,501501,136,3,90961,600,280,0,0,0,409|9096,0
30,501502,136,3,90241,600,20,0,0,0,409|9024,0
31,501503,136,3,90361,600,230,0,0,0,409|9036,0
32,501504,136,3,90551,600,190,0,0,0,409|9055,0
33,501505,136,3,90531,600,550,0,0,0,409|9053,0
34,501506,136,3,90561,600,520,0,0,0,409|9056,0
35,501507,136,3,90571,600,130,0,0,0,409|9057,0
36,501508,136,3,95001,600,230,0,0,0,409|9500,0
37,501509,136,3,95011,600,170,1,1,1,409|9501,0
38,501510,136,3,95021,600,200,1,1,1,409|9502,0
39,501511,136,3,95031,600,240,1,1,1,409|9503,0
40,501512,136,3,95041,600,340,1,1,1,409|9504,0
41,501513,136,3,95051,600,460,1,1,1,409|9505,0
42,501514,136,3,95061,600,360,1,1,1,409|9506,0
43,501515,136,3,95071,600,210,1,1,1,409|9507,0
44,501516,136,3,95081,600,460,1,1,1,409|9508,0
45,501517,136,3,95091,600,350,1,1,1,409|9509,0
46,501518,136,3,95101,600,380,1,1,1,409|9510,0
47,501519,136,3,95111,600,230,1,1,1,409|9511,0
48,501520,136,3,90041,600,20,1,1,1,409|9004,0
49,501521,136,3,90201,600,380,0,0,0,409|9020,0
50,501522,136,3,90021,600,210,0,0,0,409|9002,0
51,501523,136,3,90641,600,400,0,0,0,409|9064,0
52,501524,136,3,90011,600,10,0,0,0,409|9001,0
53,501525,136,3,90151,600,180,0,0,0,409|9015,0
54,501526,136,3,90581,600,230,0,0,0,409|9058,0
55,502500,136,3,90961,600,280,0,0,0,409|9096,0
56,502501,136,3,90241,600,20,0,0,0,409|9024,0
57,502502,136,3,90361,600,230,0,0,0,409|9036,0
58,502503,136,3,90551,600,190,0,0,0,409|9055,0
59,502504,136,3,90531,600,550,0,0,0,409|9053,0
60,502505,136,3,90561,600,520,0,0,0,409|9056,0
61,502506,136,3,90571,600,130,0,0,0,409|9057,0
62,502507,136,3,95001,600,230,0,0,0,409|9500,0
63,502508,136,3,95011,600,170,0,0,0,409|9501,0
64,502509,136,3,95021,600,200,1,1,1,409|9502,0
65,502510,136,3,95031,600,240,1,1,1,409|9503,0
66,502511,136,3,95041,600,340,1,1,1,409|9504,0
67,502512,136,3,95051,600,460,1,1,1,409|9505,0
68,502513,136,3,95061,600,360,1,1,1,409|9506,0
69,502514,136,3,95071,600,210,1,1,1,409|9507,0
70,502515,136,3,95081,600,460,1,1,1,409|9508,0
71,502516,136,3,95091,600,350,1,1,1,409|9509,0
72,502517,136,3,95101,600,380,1,1,1,409|9510,0
73,502518,136,3,95111,600,230,1,1,1,409|9511,0
74,502519,136,3,90041,600,20,1,1,1,409|9004,0
75,502520,136,3,90201,600,380,1,1,1,409|9020,0
76,502521,136,3,90021,600,210,0,0,0,409|9002,0
77,502522,136,3,90641,600,400,0,0,0,409|9064,0
78,502523,136,3,90011,600,10,0,0,0,409|9001,0
79,502524,136,3,90151,600,180,0,0,0,409|9015,0
80,502525,136,3,90581,600,230,0,0,0,409|9058,0
81,502526,136,3,90961,600,280,0,0,0,409|9096,0
